Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Butler,34,30,1872,62.4,1805,60.2,2.2,53.3,335,439,76.3,1554,41.6,0,0,0,339,11.3,308,10.267,887,29.6,913,30.4,-0.9,0,160,5.3,567,18.9
BYU,35,29,2125,73.3,1886,65,8.2,72.4,488,673,72.5,1514,48.7,0,0,0,426,14.69,400,13.793,983,33.9,826,28.5,5.4,0,205,7.1,543,18.7
Cal Poly,36,27,1901,70.4,1977,73.2,-2.8,40.7,373,533,70,1534,44.4,0,0,0,364,13.481,410,15.185,909,33.7,1026,38,-4.3,0,207,7.7,519,19.2
Cal St. Fullerton,37,28,1983,70.8,2050,73.2,-2.4,39.3,401,588,68.2,1637,42.3,0,0,0,403,14.393,435,15.536,1067,38.1,902,32.2,5.9,0,184,6.6,579,20.7
California,38,28,1873,66.9,1883,67.3,-0.4,46.4,396,631,62.8,1544,43.7,0,0,0,386,13.786,394,14.071,984,35.1,925,33,2.1,0,173,6.2,540,19.3
Campbell,39,27,1858,68.8,2308,85.5,-16.7,11.1,344,521,66,1722,39.4,0,0,0,366,13.556,458,16.963,1001,37.1,1102,40.8,-3.7,0,209,7.7,592,21.9
Canisius,40,30,2064,68.8,2169,72.3,-3.5,33.3,331,525,63,1750,43.6,0,0,0,458,15.267,446,14.867,1114,37.1,1144,38.1,-1,0,177,5.9,572,19.1
Centenary (LA),352,28,1966,70.2,1905,68,2.2,57.1,449,625,71.8,1444,47.4,0,0,0,353,12.607,420,15,852,30.4,857,30.6,-0.2,0,247,8.8,616,22
Central Conn. St.,42,28,1979,70.7,1943,69.4,1.3,50,351,548,64.1,1582,46.3,0,0,0,406,14.5,422,15.071,976,34.9,874,31.2,3.6,0,205,7.3,447,16
Central Mich.,43,30,2116,70.5,2411,80.4,-9.8,20,428,631,67.8,1686,43.6,0,0,0,438,14.6,531,17.7,962,32.1,1135,37.8,-5.8,0,186,6.2,672,22.4
Charleston So.,44,28,1660,59.3,1841,65.8,-6.5,21.4,264,416,63.5,1484,42.3,0,0,0,372,13.286,435,15.536,898,32.1,978,34.9,-2.9,0,205,7.3,564,20.1
Charlotte,45,29,2301,79.3,2072,71.4,7.9,72.4,501,777,64.5,1747,45,0,0,0,470,16.207,444,15.31,1187,40.9,1048,36.1,4.8,0,253,8.7,550,19
Chattanooga,46,30,2463,82.1,2260,75.3,6.8,63.3,510,694,73.5,1751,49.2,0,0,0,535,17.833,480,16,1067,35.6,926,30.9,4.7,0,250,8.3,515,17.2
Chicago St.,47,32,2107,65.8,2269,70.9,-5.1,37.5,470,671,70,1721,43.3,0,0,0,365,11.406,440,13.75,997,31.2,1122,35.1,-3.9,0,227,7.1,701,21.9
Cincinnati,48,30,2307,76.9,1887,62.9,14,80,468,701,66.8,1773,45.7,0,0,0,481,16.033,363,12.1,1118,37.3,1008,33.6,3.7,0,237,7.9,587,19.6
Clemson,49,28,1839,65.7,1986,70.9,-5.3,35.7,407,645,63.1,1504,43.2,0,0,0,359,12.821,537,19.179,1050,37.5,940,33.6,3.9,0,191,6.8,523,18.7
Cleveland St.,50,29,1871,64.5,2129,73.4,-8.9,13.8,411,636,64.6,1594,40.8,0,0,0,334,11.517,534,18.414,1040,35.9,1058,36.5,-0.6,0,199,6.9,606,20.9
Coastal Caro.,51,29,2061,71.1,1997,68.9,2.2,48.3,383,541,70.8,1686,44,0,0,0,423,14.586,469,16.172,1090,37.6,982,33.9,3.7,0,223,7.7,564,19.4
Col. of Charleston,52,29,2134,73.6,1966,67.8,5.8,69,415,584,71.1,1673,44.2,0,0,0,414,14.276,434,14.966,1045,36,1086,37.4,-1.4,0,228,7.9,544,18.8
Colgate,53,29,1968,67.9,1987,68.5,-0.7,51.7,385,552,69.7,1624,42.9,0,0,0,386,13.31,395,13.621,987,34,988,34.1,0,0,200,6.9,520,17.9
Colorado,54,28,2079,74.3,1974,70.5,3.8,64.3,435,697,62.4,1571,46.5,0,0,0,393,14.036,408,14.571,1082,38.6,992,35.4,3.2,0,167,6,498,17.8
Colorado St.,55,29,2036,70.2,2086,71.9,-1.7,44.8,521,732,71.2,1503,45.9,0,0,0,395,13.621,494,17.034,1015,35,987,34,1,0,172,5.9,689,23.8
Columbia,56,27,1824,67.6,1902,70.4,-2.9,37,347,489,71,1453,43.6,0,0,0,424,15.704,504,18.667,894,33.1,884,32.7,0.4,0,201,7.4,629,23.3
Coppin St.,57,32,1969,61.5,1948,60.9,0.7,56.3,417,623,66.9,1645,40.9,0,0,0,354,11.062,478,14.938,1103,34.5,1044,32.6,1.8,0,203,6.3,569,17.8
Cornell,58,27,1904,70.5,1885,69.8,0.7,40.7,410,598,68.6,1553,42.4,0,0,0,343,12.704,401,14.852,1015,37.6,955,35.4,2.2,0,236,8.7,499,18.5
Creighton,59,28,1914,68.4,1721,61.5,6.9,71.4,410,586,70,1473,45.4,0,0,0,383,13.679,386,13.786,966,34.5,887,31.7,2.8,0,186,6.6,490,17.5
CSUN,61,30,2045,68.2,2063,68.8,-0.6,46.7,456,631,72.3,1605,44,0,0,0,374,12.467,492,16.4,904,30.1,963,32.1,-2,0,298,9.9,632,21.1
Dartmouth,62,28,1594,56.9,1876,67,-10.1,10.7,291,407,71.5,1378,40.7,0,0,0,302,10.786,397,14.179,805,28.8,1022,36.5,-7.8,0,151,5.4,485,17.3
Davidson,63,29,2119,73.1,2054,70.8,2.2,58.6,429,598,71.7,1659,44.1,0,0,0,433,14.931,503,17.345,1115,38.4,966,33.3,5.1,0,169,5.8,578,19.9
Dayton,64,32,2175,68,2051,64.1,3.9,75,465,694,67,1667,45.2,0,0,0,478,14.938,457,14.281,1216,38,988,30.9,7.1,0,145,4.5,548,17.1
Delaware,65,28,1987,71,1951,69.7,1.3,57.1,431,624,69.1,1615,43,0,0,0,364,13,474,16.929,1054,37.6,1026,36.6,1,0,237,8.5,624,22.3
Delaware St.,66,28,1721,61.5,1734,61.9,-0.5,46.4,423,611,69.2,1289,44.5,0,0,0,297,10.607,427,15.25,810,28.9,863,30.8,-1.9,0,189,6.8,492,17.6
Denver,67,27,1877,69.5,1879,69.6,-0.1,51.9,380,553,68.7,1518,43.2,0,0,0,383,14.185,371,13.741,960,35.6,965,35.7,-0.2,0,185,6.9,508,18.8
DePaul,68,30,2126,70.9,2030,67.7,3.2,70,435,618,70.4,1637,47,0,0,0,412,13.733,403,13.433,1075,35.8,928,30.9,4.9,0,171,5.7,523,17.4
Detroit Mercy,69,30,1948,64.9,1787,59.6,5.4,63.3,348,502,69.3,1555,45.9,0,0,0,421,14.033,405,13.5,951,31.7,851,28.4,3.3,0,213,7.1,564,18.8
Drake,70,28,1956,69.9,2001,71.5,-1.6,42.9,479,702,68.2,1602,40.6,0,0,0,336,12,451,16.107,933,33.3,1018,36.4,-3,0,321,11.5,519,18.5
Drexel,71,28,2043,73,1890,67.5,5.5,64.3,384,571,67.3,1576,46.1,0,0,0,453,16.179,366,13.071,967,34.5,1015,36.3,-1.7,0,222,7.9,537,19.2
