Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,31,1943,62.7,2194,70.8,-8.1,32.3,430,668,64.4,1583,43.2,0,0,34.6,350,Inf,540,Inf,1045,33.7,1011,32.6,1.1,0,199,6.4,555,17.9
Air Force,3,30,1922,64.1,1927,64.2,-0.2,50,386,547,70.6,1442,46.4,0,0,33.2,454,15.133,363,12.1,866,28.9,1038,34.6,-5.7,0,187,6.2,525,17.5
Akron,4,35,2468,70.5,2296,65.6,4.9,65.7,454,643,70.6,2009,43.3,0,0,31.7,510,14.571,424,12.114,1206,34.5,1304,37.3,-2.8,0,234,6.7,671,19.2
Alabama,5,32,2133,66.7,1896,59.3,7.4,65.6,410,567,72.3,1789,44.5,0,0,31.8,397,12.406,454,14.188,1173,36.7,1070,33.4,3.2,0,296,9.3,589,18.4
Alabama A&M,6,28,1808,64.6,1870,66.8,-2.2,46.4,417,668,62.4,1588,39.9,0,0,32,339,12.107,444,15.857,1058,37.8,1109,39.6,-1.8,0,233,8.3,562,20.1
Alabama St.,7,34,2085,61.3,2164,63.6,-2.3,50,515,857,60.1,1779,39.7,0,0,34.6,391,11.5,539,15.853,1232,36.2,1202,35.4,0.9,0,249,7.3,755,22.2
Albany (NY),8,32,2013,62.9,2048,64,-1.1,50,327,507,64.5,1707,42.4,0,0,32.9,371,11.594,411,12.844,1155,36.1,1080,33.8,2.3,0,150,4.7,505,15.8
Alcorn,9,28,1838,65.6,2258,80.6,-15,14.3,494,781,63.3,1664,36.9,0,0,32.1,255,9.1071,473,16.893,992,35.4,1290,46.1,-10.6,0,218,7.8,610,21.8
American,10,31,2051,66.2,1973,63.6,2.5,71,431,600,71.8,1602,44.7,0,0,36.1,430,13.871,346,11.161,1044,33.7,948,30.6,3.1,0,127,4.1,558,18
Appalachian St.,11,31,2265,73.1,2269,73.2,-0.1,51.6,489,694,70.5,1738,45.5,0,0,34,327,10.548,403,13,1067,34.4,1070,34.5,-0.1,0,179,5.8,541,17.5
Arizona,12,34,2602,76.5,2294,67.5,9.1,79.4,604,809,74.7,1836,47.1,0,0,28.8,479,14.088,437,12.853,1176,34.6,1043,30.7,3.9,0,171,5,633,18.6
Arizona St.,13,31,1983,64,2073,66.9,-2.9,38.7,305,486,62.8,1674,43,0,0,34.6,463,14.935,379,12.226,991,32,1102,35.5,-3.6,0,196,6.3,574,18.5
Ark.-Pine Bluff,14,31,1850,59.7,2221,71.6,-12,22.6,405,646,62.7,1610,38.9,0,0,37.1,357,11.516,518,16.71,987,31.8,1127,36.4,-4.5,0,234,7.5,649,20.9
Arkansas,15,31,2191,70.7,2069,66.7,3.9,58.1,475,683,69.5,1734,43.6,0,0,31.5,373,12.032,411,13.258,1063,34.3,1153,37.2,-2.9,0,225,7.3,561,18.1
Arkansas St.,16,32,2188,68.4,2066,64.6,3.8,53.1,531,750,70.8,1724,43.2,0,0,34.8,362,11.312,418,13.062,1177,36.8,1030,32.2,4.6,0,202,6.3,586,18.3
Army West Point,17,30,2038,67.9,2141,71.4,-3.4,36.7,360,506,71.1,1702,41.5,0,0,36.3,404,13.467,424,14.133,1020,34,1075,35.8,-1.8,0,168,5.6,606,20.2
Auburn,18,31,1933,62.4,2051,66.2,-3.8,35.5,435,663,65.6,1695,39.8,0,0,33.6,349,11.258,440,14.194,1067,34.4,1095,35.3,-0.9,0,242,7.8,641,20.7
Austin Peay,19,33,2430,73.6,2196,66.5,7.1,60.6,510,753,67.7,1903,45.7,0,0,31.7,474,14.364,466,14.121,1185,35.9,1161,35.2,0.7,0,288,8.7,604,18.3
Ball St.,20,32,2164,67.6,2049,64,3.6,59.4,567,818,69.3,1623,44.6,0,0,32.8,436,13.625,414,12.938,1077,33.7,1064,33.3,0.4,0,193,6,574,17.9
Baylor,21,31,2154,69.5,1984,64,5.5,58.1,486,699,69.5,1618,46.5,0,0,34.6,365,11.774,487,15.71,1088,35.1,953,30.7,4.4,0,217,7,524,16.9
Belmont,22,34,2732,80.4,2106,61.9,18.4,88.2,559,759,73.6,1996,46.4,0,0,32.7,557,16.382,474,13.941,1236,36.4,1104,32.5,3.9,0,331,9.7,708,20.8
Bethune-Cookman,23,33,2187,66.3,2161,65.5,0.8,63.6,505,713,70.8,1763,43.9,0,0,34.5,380,11.515,402,12.182,1069,32.4,1077,32.6,-0.2,0,241,7.3,644,19.5
Binghamton,24,31,1861,60,2123,68.5,-8.5,25.8,326,465,70.1,1642,39.6,0,0,38.1,339,10.935,384,12.387,959,30.9,1119,36.1,-5.2,0,157,5.1,503,16.2
Boise St.,25,32,2365,73.9,2154,67.3,6.6,62.5,551,764,72.1,1837,43.5,0,0,36.8,408,12.75,385,12.031,1067,33.3,1044,32.6,0.7,0,283,8.8,603,18.8
Boston College,26,32,2291,71.6,2207,69,2.6,62.5,397,551,72.1,1749,45.9,0,0,34.8,487,15.219,350,10.938,1029,32.2,1060,33.1,-1,0,155,4.8,480,15
Boston U.,27,34,2217,65.2,2150,63.2,2,61.8,499,683,73.1,1812,40.3,0,0,32.1,335,9.8529,406,11.941,1224,36,1196,35.2,0.8,0,183,5.4,619,18.2
Bowling Green,28,33,2116,64.1,2215,67.1,-3,42.4,364,567,64.2,1859,43.2,0,0,35.2,452,13.697,444,13.455,1099,33.3,1184,35.9,-2.6,0,283,8.6,608,18.4
Bradley,29,32,2076,64.9,2164,67.6,-2.8,37.5,421,583,72.2,1751,42.7,0,0,33.5,374,11.688,390,12.188,1048,32.8,1123,35.1,-2.3,0,202,6.3,584,18.3
Brown,30,28,2002,71.5,2054,73.4,-1.9,39.3,417,558,74.7,1567,43.9,0,0,34.7,399,14.25,343,12.25,959,34.3,1018,36.4,-2.1,0,147,5.3,464,16.6
Bryant,31,30,2001,66.7,2258,75.3,-8.6,30,350,537,65.2,1683,41.8,0,0,39,400,13.333,409,13.633,990,33,1117,37.2,-4.2,0,167,5.6,565,18.8
Bucknell,32,33,2335,70.8,2093,63.4,7.3,75.8,486,618,78.6,1804,45,0,0,31.5,486,14.727,375,11.364,1126,34.1,1113,33.7,0.4,0,157,4.8,602,18.2
Buffalo,33,31,2212,71.4,2003,64.6,6.7,58.1,402,607,66.2,1695,47.7,0,0,36,448,14.452,476,15.355,1092,35.2,977,31.5,3.7,0,245,7.9,593,19.1
Butler,34,32,2330,72.8,2069,64.7,8.2,71.9,497,681,73,1788,44.6,0,0,32.9,401,12.531,356,11.125,1116,34.9,1008,31.5,3.4,0,193,6,607,19
BYU,35,34,2775,81.6,2296,67.5,14.1,88.2,615,810,75.9,2076,45.2,0,0,33.3,494,14.529,374,11,1317,38.7,1203,35.4,3.4,0,268,7.9,587,17.3
Cal Poly,36,30,1779,59.3,1766,58.9,0.4,50,383,577,66.4,1551,38.9,0,0,28.7,336,11.2,356,11.867,1020,34,1019,34,0,0,181,6,557,18.6
Cal St. Fullerton,37,31,2208,71.2,2326,75,-3.8,35.5,506,704,71.9,1674,44.9,0,0,37,393,12.677,439,14.161,1036,33.4,1052,33.9,-0.5,0,162,5.2,636,20.5
California,38,31,2242,72.3,2219,71.6,0.7,54.8,548,791,69.3,1669,46.1,0,0,36,464,14.968,424,13.677,1088,35.1,1003,32.4,2.7,0,175,5.6,548,17.7
Campbell,39,31,2032,65.5,2091,67.5,-1.9,38.7,425,663,64.1,1640,45.2,0,0,37.7,425,13.71,446,14.387,1023,33,1026,33.1,-0.1,0,219,7.1,680,21.9
Canisius,40,30,2043,68.1,2024,67.5,0.6,50,334,478,69.9,1742,42.4,0,0,34,449,14.967,414,13.8,1063,35.4,1093,36.4,-1,0,207,6.9,580,19.3
Centenary (LA),#N/A,30,1775,59.2,2422,80.7,-21.6,3.3,448,715,62.7,1509,39.6,0,0,35.2,294,9.8,548,18.267,892,29.7,1161,38.7,-9,0,212,7.1,658,21.9
Central Ark.,41,29,1984,68.4,2216,76.4,-8,17.2,439,684,64.2,1657,41.6,0,0,34.4,346,11.931,468,16.138,965,33.3,1077,37.1,-3.9,0,221,7.6,571,19.7
Central Conn. St.,42,31,2170,70,2045,66,4,61.3,486,634,76.7,1758,43.6,0,0,32,452,14.581,447,14.419,1123,36.2,1076,34.7,1.5,0,233,7.5,548,17.7
Central Mich.,43,31,1841,59.4,2006,64.7,-5.3,32.3,363,577,62.9,1720,38.4,0,0,36.3,271,8.7419,419,13.516,1026,33.1,1063,34.3,-1.2,0,223,7.2,665,21.5
Charleston So.,44,32,2362,73.8,2197,68.7,5.2,50,456,604,75.5,1898,44.7,0,0,33,401,12.531,455,14.219,1177,36.8,1056,33,3.8,0,276,8.6,587,18.3
Charlotte,45,30,1997,66.6,2130,71,-4.4,33.3,447,613,72.9,1629,41.4,0,0,30.6,353,11.767,447,14.9,1057,35.2,1040,34.7,0.6,0,193,6.4,529,17.6
Chattanooga,46,32,2274,71.1,2380,74.4,-3.3,50,480,740,64.9,1827,41.7,0,0,34.6,447,13.969,484,15.125,1232,38.5,1131,35.3,3.2,0,163,5.1,592,18.5
Chicago St.,47,32,2128,66.5,2772,86.6,-20.1,18.8,465,719,64.7,1893,40.1,0,0,37.5,392,12.25,550,17.188,1137,35.5,1336,41.8,-6.2,0,206,6.4,764,23.9
Cincinnati,48,33,2276,69,1954,59.2,9.8,75.8,470,706,66.6,1830,43.6,0,0,32.2,471,14.273,382,11.576,1176,35.6,1022,31,4.7,0,250,7.6,571,17.3
Clemson,49,32,2184,68.3,1950,60.9,7.3,65.6,458,661,69.3,1719,44.2,0,0,32.2,413,12.906,428,13.375,1117,34.9,1056,33,1.9,0,257,8,588,18.4
Cleveland St.,50,34,2437,71.7,2167,63.7,7.9,76.5,576,784,73.5,1859,43.9,0,0,32.6,402,11.824,396,11.647,1148,33.8,1177,34.6,-0.9,0,253,7.4,685,20.1
Coastal Caro.,51,33,2553,77.4,2110,63.9,13.4,84.8,569,820,69.4,1867,49,0,0,34.3,514,15.576,424,12.848,1306,39.6,1064,32.2,7.3,0,223,6.8,510,15.5
Col. of Charleston,52,34,2588,76.1,2332,68.6,7.5,70.6,389,530,73.4,2020,47.6,0,0,35.1,461,13.559,408,12,1182,34.8,1195,35.1,-0.4,0,204,6,514,15.1
Colgate,53,30,1947,64.9,2270,75.7,-10.8,23.3,417,611,68.2,1631,41.9,0,0,33.8,379,12.633,475,15.833,1023,34.1,1021,34,0.1,0,173,5.8,617,20.6
Colorado,54,34,2706,79.6,2505,73.7,5.9,61.8,611,784,77.9,2005,47.1,0,0,36.7,458,13.471,404,11.882,1218,35.8,1138,33.5,2.4,0,231,6.8,641,18.9
Colorado St.,55,31,2219,71.6,2104,67.9,3.7,61.3,477,694,68.7,1648,47.3,0,0,33.8,413,13.323,430,13.871,1041,33.6,1014,32.7,0.9,0,227,7.3,590,19
Columbia,56,28,1982,70.8,1988,71,-0.2,53.6,420,588,71.4,1643,42.7,0,0,36.5,324,11.571,348,12.429,1026,36.6,927,33.1,3.5,0,180,6.4,536,19.1
Coppin St.,57,30,2175,72.5,2169,72.3,0.2,53.3,423,603,70.1,1770,42.9,0,0,33.4,344,11.467,410,13.667,1084,36.1,1139,38,-1.8,0,219,7.3,540,18
Cornell,58,28,1906,68.1,1962,70.1,-2,35.7,339,492,68.9,1580,41.6,0,0,34.3,406,14.5,338,12.071,906,32.4,1003,35.8,-3.5,0,186,6.6,578,20.6
Creighton,59,33,2204,66.8,2101,63.7,3.1,57.6,431,597,72.2,1713,45,0,0,35.2,458,13.879,394,11.939,1157,35.1,1034,31.3,3.7,0,137,4.2,504,15.3
CSU Bakersfield,60,28,1907,68.1,2166,77.4,-9.3,32.1,412,598,68.9,1661,39.6,0,0,34.6,329,11.75,382,13.643,947,33.8,1091,39,-5.1,0,204,7.3,535,19.1
CSUN,61,32,2232,69.8,2280,71.3,-1.5,43.8,552,820,67.3,1725,43.6,0,0,33.3,407,12.719,504,15.75,1111,34.7,1099,34.3,0.4,0,209,6.5,738,23.1
Dartmouth,62,28,1667,59.5,1988,71,-11.5,17.9,315,452,69.7,1531,39.5,0,0,37,257,9.1786,383,13.679,860,30.7,1063,38,-7.3,0,180,6.4,530,18.9
Davidson,63,31,2215,71.5,2099,67.7,3.7,54.8,471,642,73.4,1756,42.8,0,0,33.4,391,12.613,441,14.226,1147,37,997,32.2,4.8,0,151,4.9,676,21.8
Dayton,64,35,2329,66.5,2259,64.5,2,62.9,461,676,68.2,1999,40.9,0,0,31.8,514,14.686,468,13.371,1349,38.5,1186,33.9,4.7,0,168,4.8,673,19.2
Delaware,65,31,1951,62.9,2065,66.6,-3.7,45.2,443,641,69.1,1593,41.6,0,0,30.8,323,10.419,365,11.774,1024,33,1092,35.2,-2.2,0,115,3.7,615,19.8
Delaware St.,66,30,1874,62.5,1967,65.6,-3.1,30,320,448,71.4,1576,42.8,0,0,36.3,347,11.567,335,11.167,759,25.3,1049,35,-9.7,0,253,8.4,464,15.5
Denver,67,30,1800,60,1817,60.6,-0.6,43.3,366,505,72.5,1324,45.4,0,0,40.9,397,13.233,371,12.367,718,23.9,890,29.7,-5.7,0,166,5.5,653,21.8
DePaul,68,31,2104,67.9,2378,76.7,-8.8,22.6,409,599,68.3,1800,42.6,0,0,35,446,14.387,420,13.548,944,30.5,1183,38.2,-7.7,0,231,7.5,617,19.9
Detroit Mercy,69,33,2459,74.5,2397,72.6,1.9,51.5,593,863,68.7,1832,46.3,0,0,33.3,405,12.273,517,15.667,1237,37.5,1124,34.1,3.4,0,251,7.6,640,19.4
Drake,70,31,1997,64.4,2100,67.7,-3.3,41.9,420,613,68.5,1608,42.7,0,0,32.8,359,11.581,377,12.161,931,30,1103,35.6,-5.5,0,175,5.6,568,18.3
Drexel,71,31,1975,63.7,1850,59.7,4,67.7,420,682,61.6,1696,42.4,0,0,28.5,348,11.226,370,11.935,1249,40.3,956,30.8,9.5,0,127,4.1,583,18.8
Duke,72,34,2756,81.1,2185,64.3,16.8,88.2,572,763,75,2039,46.9,0,0,31.6,490,14.412,416,12.235,1301,38.3,1208,35.5,2.7,0,254,7.5,608,17.9
Duquesne,73,30,2332,77.7,2024,67.5,10.3,60,474,765,62,1786,45.4,0,0,33.3,540,18,395,13.167,1061,35.4,1148,38.3,-2.9,0,294,9.8,577,19.2
East Carolina,74,33,2253,68.3,2217,67.2,1.1,54.5,569,822,69.2,1677,42.7,0,0,32.9,426,12.909,459,13.909,1097,33.2,1161,35.2,-1.9,0,213,6.5,645,19.5
Eastern Ill.,75,29,1749,60.3,1875,64.7,-4.3,31,352,486,72.4,1519,42.1,0,0,35.5,366,12.621,405,13.966,986,34,938,32.3,1.7,0,173,6,550,19
Eastern Ky.,76,31,2046,66,1957,63.1,2.9,48.4,385,519,74.2,1584,44.6,0,0,36.2,436,14.065,374,12.065,889,28.7,997,32.2,-3.5,0,187,6,561,18.1
Eastern Mich.,77,31,1906,61.5,2030,65.5,-4,29,374,599,62.4,1696,38.9,0,0,34.1,404,13.032,449,14.484,1086,35,1122,36.2,-1.2,0,203,6.5,607,19.6
Eastern Wash.,78,30,2023,67.4,2119,70.6,-3.2,33.3,405,611,66.3,1685,40.8,0,0,34.6,356,11.867,412,13.733,1032,34.4,1060,35.3,-0.9,0,174,5.8,612,20.4
Elon,79,31,2301,74.2,2301,74.2,0,45.2,486,681,71.4,1786,42.8,0,0,38.1,435,14.032,391,12.613,1063,34.3,1152,37.2,-2.9,0,171,5.5,599,19.3
ETSU,80,33,2277,69,2101,63.7,5.3,66.7,528,789,66.9,1759,45,0,0,33,357,10.818,446,13.515,1201,36.4,1117,33.8,2.5,0,215,6.5,608,18.4
Evansville,81,30,1976,65.9,2002,66.7,-0.9,50,496,701,70.8,1506,44.8,0,0,35.2,424,14.133,389,12.967,910,30.3,984,32.8,-2.5,0,167,5.6,624,20.8
Fairfield,82,31,2020,65.2,1792,57.8,7.4,77.4,441,669,65.9,1677,43.2,0,0,31.9,422,13.613,437,14.097,1129,36.4,1028,33.2,3.3,0,254,8.2,544,17.5
Fairleigh Dickinson,83,29,1866,64.3,2108,72.7,-8.3,17.2,430,637,67.5,1618,39.7,0,0,36.7,338,11.655,439,15.138,1082,37.3,1072,37,0.3,0,166,5.7,555,19.1
FGCU,84,30,1970,65.7,2185,72.8,-7.2,33.3,461,708,65.1,1662,40.1,0,0,36.9,362,12.067,500,16.667,1098,36.6,1068,35.6,1,0,189,6.3,559,18.6
FIU,85,30,2150,71.7,2262,75.4,-3.7,36.7,550,802,68.6,1638,43.8,0,0,34.7,320,10.667,441,14.7,1017,33.9,1113,37.1,-3.2,0,248,8.3,625,20.8
Fla. Atlantic,86,31,2129,68.7,2052,66.2,2.5,67.7,442,670,66,1708,44.6,0,0,35.7,390,12.581,352,11.355,1042,33.6,1074,34.6,-1,0,187,6,566,18.3
Florida,87,33,2361,71.5,2081,63.1,8.5,78.8,444,666,66.7,1854,46.2,0,0,31.9,453,13.727,410,12.424,1238,37.5,1037,31.4,6.1,0,194,5.9,476,14.4
Florida A&M,88,32,2055,64.2,2196,68.6,-4.4,37.5,435,718,60.6,1787,39.9,0,0,34.1,298,9.3125,528,16.5,1218,38.1,1206,37.7,0.4,0,247,7.7,620,19.4
Florida St.,89,31,2149,69.3,1930,62.3,7.1,67.7,439,662,66.3,1741,43.6,0,0,30.1,387,12.484,500,16.129,1210,39,1064,34.3,4.7,0,272,8.8,597,19.3
