Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
Arizona,12,30,2354,78.5,2175,72.5,6,66.7,536,719,74.5,1719,48,0,0,0,495,16.5,410,13.667,1126,37.5,945,31.5,6,0,183,6.1,402,13.4
Arizona St.,13,30,1755,58.5,1853,61.8,-3.3,26.7,293,447,65.5,1535,41.2,0,0,0,392,13.067,434,14.467,975,32.5,917,30.6,1.9,0,181,6,538,17.9
Ark.-Pine Bluff,14,31,1862,60.1,2022,65.2,-5.2,38.7,367,587,62.5,1750,39.4,0,0,0,300,9.6774,486,15.677,1161,37.5,1205,38.9,-1.4,0,198,6.4,578,18.6
Arkansas,15,34,2427,71.4,2234,65.7,5.7,61.8,498,710,70.1,1853,46.4,0,0,0,516,15.176,521,15.324,1207,35.5,1109,32.6,2.9,0,235,6.9,592,17.4
Arkansas St.,16,33,2392,72.5,2375,72,0.5,54.5,489,718,68.1,1820,45.7,0,0,0,457,13.848,508,15.394,1176,35.6,1210,36.7,-1,0,196,5.9,653,19.8
Army West Point,17,31,1896,61.2,1892,61,0.1,48.4,381,547,69.7,1535,43.3,0,0,0,412,13.29,501,16.161,971,31.3,986,31.8,-0.5,0,221,7.1,593,19.1
Auburn,18,32,2340,73.1,2307,72.1,1,53.1,403,639,63.1,1876,45.4,0,0,0,532,16.625,526,16.438,1164,36.4,1140,35.6,0.8,0,270,8.4,613,19.2
Austin Peay,19,32,2259,70.6,2136,66.8,3.8,65.6,499,731,68.3,1733,45,0,0,0,427,13.344,422,13.188,1064,33.3,1078,33.7,-0.4,0,248,7.8,557,17.4
Ball St.,20,31,1848,59.6,1974,63.7,-4.1,29,433,623,69.5,1676,38.5,0,0,0,320,10.323,419,13.516,1012,32.6,1036,33.4,-0.8,0,242,7.8,644,20.8
Baylor,21,31,2333,75.3,2262,73,2.3,48.4,431,641,67.2,1793,46,0,0,0,434,14,451,14.548,1123,36.2,1055,34,2.2,0,184,5.9,625,20.2
Belmont,22,32,2335,73,2048,64,9,71.9,397,570,69.6,1780,46.5,0,0,0,503,15.719,516,16.125,1198,37.4,1100,34.4,3.1,0,195,6.1,589,18.4
Bethune-Cookman,23,30,1631,54.4,1925,64.2,-9.8,30,339,553,61.3,1485,38.9,0,0,0,321,10.7,485,16.167,950,31.7,1000,33.3,-1.7,0,198,6.6,574,19.1
Binghamton,24,29,1905,65.7,1918,66.1,-0.4,44.8,345,505,68.3,1592,42.3,0,0,0,302,10.414,416,14.345,966,33.3,1021,35.2,-1.9,0,216,7.4,586,20.2
Boise St.,25,31,2360,76.1,2234,72.1,4.1,54.8,466,705,66.1,1828,45.8,0,0,0,457,14.742,475,15.323,1190,38.4,1127,36.4,2,0,208,6.7,538,17.4
Boston College,26,31,2314,74.6,2166,69.9,4.8,64.5,550,760,72.4,1651,47.9,0,0,0,458,14.774,438,14.129,1074,34.6,1022,33,1.7,0,179,5.8,478,15.4
Boston U.,27,30,1802,60.1,1801,60,0,40,350,517,67.7,1480,42,0,0,0,343,11.433,425,14.167,959,32,956,31.9,0.1,0,162,5.4,573,19.1
Bowling Green,28,31,2062,66.5,2137,68.9,-2.4,41.9,393,581,67.6,1661,43.9,0,0,0,453,14.613,440,14.194,999,32.2,1139,36.7,-4.5,0,230,7.4,717,23.1
Bradley,29,33,2454,74.4,2296,69.6,4.8,63.6,381,569,67,1874,46.4,0,0,0,511,15.485,365,11.061,967,29.3,1196,36.2,-6.9,0,266,8.1,616,18.7
Brown,30,29,1759,60.7,1840,63.4,-2.8,37.9,477,643,74.2,1250,43.1,0,0,0,357,12.31,447,15.414,759,26.2,929,32,-5.9,0,209,7.2,534,18.4
Bucknell,32,31,1965,63.4,1791,57.8,5.6,71,453,627,72.2,1415,46.8,0,0,0,427,13.774,456,14.71,953,30.7,797,25.7,5,0,196,6.3,532,17.2
Buffalo,33,31,2109,68,2226,71.8,-3.8,38.7,520,752,69.1,1734,41.1,0,0,0,427,13.774,592,19.097,1186,38.3,981,31.6,6.6,0,237,7.6,661,21.3
Butler,34,33,2258,68.4,1886,57.2,11.3,81.8,529,693,76.3,1644,43.7,0,0,0,404,12.242,309,9.3636,985,29.8,1023,31,-1.2,0,172,5.2,633,19.2
BYU,35,33,2577,78.1,2268,68.7,9.4,75.8,444,675,65.8,1914,49.3,0,0,0,532,16.121,446,13.515,1237,37.5,1026,31.1,6.4,0,203,6.2,639,19.4
Cal Poly,36,30,2265,75.5,2160,72,3.5,63.3,373,583,64,1733,46.5,0,0,0,430,14.333,388,12.933,1056,35.2,1092,36.4,-1.2,0,201,6.7,517,17.2
Cal St. Fullerton,37,30,2462,82.1,2291,76.4,5.7,66.7,405,629,64.4,1973,45.9,0,0,0,519,17.3,463,15.433,1180,39.3,1112,37.1,2.3,0,204,6.8,584,19.5
California,38,33,2293,69.5,2281,69.1,0.4,48.5,400,520,76.9,1850,44.4,0,0,0,447,13.545,385,11.667,1018,30.8,1105,33.5,-2.6,0,151,4.6,559,16.9
Campbell,39,31,2433,78.5,2446,78.9,-0.4,45.2,577,799,72.2,1806,44.9,0,0,0,509,16.419,553,17.839,1109,35.8,1181,38.1,-2.3,0,300,9.7,601,19.4
Canisius,40,31,2154,69.5,2249,72.5,-3.1,38.7,388,596,65.1,1839,42.2,0,0,0,408,13.161,511,16.484,1149,37.1,1099,35.5,1.6,0,217,7,634,20.5
Centenary (LA),352,31,2125,68.5,2328,75.1,-6.5,32.3,442,617,71.6,1715,44,0,0,0,414,13.355,476,15.355,933,30.1,1123,36.2,-6.1,0,247,8,668,21.5
Central Ark.,41,30,1958,65.3,2018,67.3,-2,33.3,411,564,72.9,1672,41.3,0,0,0,340,11.333,439,14.633,1105,36.8,1041,34.7,2.1,0,154,5.1,599,20
Central Conn. St.,42,33,2287,69.3,2169,65.7,3.6,66.7,493,678,72.7,1769,43.6,0,0,0,416,12.606,469,14.212,1153,34.9,1080,32.7,2.2,0,200,6.1,532,16.1
Central Mich.,43,31,2035,65.6,2182,70.4,-4.7,41.9,520,717,72.5,1559,41.9,0,0,0,305,9.8387,543,17.516,978,31.5,965,31.1,0.4,0,233,7.5,741,23.9
Charleston So.,44,30,2043,68.1,2198,73.3,-5.2,26.7,325,509,63.9,1722,43.9,0,0,0,423,14.1,470,15.667,1069,35.6,1049,35,0.7,0,209,7,514,17.1
Charlotte,45,30,2101,70,2151,71.7,-1.7,46.7,440,628,70.1,1736,40.3,0,0,0,368,12.267,382,12.733,1074,35.8,1008,33.6,2.2,0,164,5.5,588,19.6
Chattanooga,46,33,2261,68.5,2256,68.4,0.2,45.5,464,733,63.3,1804,43,0,0,0,438,13.273,531,16.091,1216,36.8,1095,33.2,3.7,0,179,5.4,580,17.6
Chicago St.,47,29,2110,72.8,2252,77.7,-4.9,31,391,549,71.2,1724,44.3,0,0,0,384,13.241,410,14.138,940,32.4,1062,36.6,-4.2,0,243,8.4,578,19.9
Cincinnati,48,30,1937,64.6,2032,67.7,-3.2,36.7,341,516,66.1,1739,40.5,0,0,0,376,12.533,379,12.633,1005,33.5,997,33.2,0.3,0,230,7.7,565,18.8
Clemson,49,31,2268,73.2,2025,65.3,7.8,67.7,299,512,58.4,1881,46.7,0,0,0,482,15.548,431,13.903,1084,35,1037,33.5,1.5,0,295,9.5,521,16.8
Cleveland St.,50,31,1974,63.7,2129,68.7,-5,32.3,398,558,71.3,1752,39.3,0,0,0,360,11.613,420,13.548,1026,33.1,1136,36.6,-3.5,0,231,7.5,606,19.5
Coastal Caro.,51,30,2231,74.4,2141,71.4,3,50,354,528,67,1821,45.6,0,0,0,497,16.567,451,15.033,1048,34.9,1025,34.2,0.8,0,277,9.2,566,18.9
Col. of Charleston,52,33,2290,69.4,2166,65.6,3.8,66.7,378,557,67.9,1846,45.1,0,0,0,462,14,494,14.97,1187,36,1188,36,0,0,210,6.4,516,15.6
Colgate,53,29,1652,57,1771,61.1,-4.1,34.5,365,531,68.7,1433,39.8,0,0,0,274,9.4483,440,15.172,917,31.6,942,32.5,-0.9,0,178,6.1,501,17.3
Colorado,54,27,1867,69.1,2163,80.1,-11,25.9,389,598,65.1,1576,42,0,0,0,359,13.296,472,17.481,998,37,988,36.6,0.4,0,185,6.9,572,21.2
Colorado St.,55,30,2178,72.6,2130,71,1.6,56.7,479,673,71.2,1573,48.8,0,0,0,413,13.767,526,17.533,1056,35.2,890,29.7,5.5,0,215,7.2,615,20.5
Columbia,56,28,1842,65.8,1789,63.9,1.9,57.1,352,478,73.6,1406,45.9,0,0,0,377,13.464,410,14.643,914,32.6,799,28.5,4.1,0,153,5.5,552,19.7
Coppin St.,57,32,1972,61.6,2256,70.5,-8.9,37.5,415,639,64.9,1755,39.7,0,0,0,304,9.5,441,13.781,995,31.1,1246,38.9,-7.8,0,207,6.5,611,19.1
Cornell,58,28,1856,66.3,1792,64,2.3,57.1,376,501,75,1371,46.8,0,0,0,367,13.107,415,14.821,882,31.5,852,30.4,1.1,0,161,5.8,484,17.3
Creighton,59,32,2149,67.2,1934,60.4,6.7,68.8,527,698,75.5,1591,44.6,0,0,0,429,13.406,411,12.844,1049,32.8,971,30.3,2.4,0,200,6.3,535,16.7
CSUN,61,31,2340,75.5,2353,75.9,-0.4,45.2,510,716,71.2,1852,44.9,0,0,0,453,14.613,592,19.097,1204,38.8,991,32,6.9,0,278,9,771,24.9
Dartmouth,62,27,1591,58.9,1816,67.3,-8.3,33.3,276,393,70.2,1433,41.8,0,0,0,305,11.296,354,13.111,788,29.2,927,34.3,-5.1,0,176,6.5,549,20.3
Davidson,63,33,2695,81.7,2254,68.3,13.4,87.9,487,649,75,2087,45.3,0,0,0,542,16.424,478,14.485,1343,40.7,1102,33.4,7.3,0,259,7.8,585,17.7
Dayton,64,31,2075,66.9,2051,66.2,0.8,61.3,405,583,69.5,1654,44.6,0,0,0,384,12.387,438,14.129,1024,33,1013,32.7,0.4,0,146,4.7,604,19.5
Delaware,65,31,1874,60.5,2164,69.8,-9.4,16.1,402,560,71.8,1580,40.4,0,0,0,334,10.774,400,12.903,890,28.7,1076,34.7,-6,0,169,5.5,573,18.5
Delaware St.,66,33,1981,60,1928,58.4,1.6,63.6,390,527,74,1565,44.1,0,0,0,388,11.758,401,12.152,917,27.8,944,28.6,-0.8,0,203,6.2,528,16
Denver,67,29,1855,64,2194,75.7,-11.7,13.8,390,540,72.2,1572,39.9,0,0,0,348,12,434,14.966,940,32.4,1107,38.2,-5.8,0,140,4.8,495,17.1
DePaul,68,31,2096,67.6,1964,63.4,4.3,58.1,322,490,65.7,1742,45.4,0,0,0,433,13.968,363,11.71,1100,35.5,1042,33.6,1.9,0,192,6.2,515,16.6
Detroit Mercy,69,30,1913,63.8,2002,66.7,-3,36.7,326,500,65.2,1599,44,0,0,0,382,12.733,382,12.733,996,33.2,934,31.1,2.1,0,171,5.7,535,17.8
Drake,70,32,2398,74.9,2374,74.2,0.8,53.1,564,794,71,1822,45,0,0,0,489,15.281,440,13.75,1166,36.4,1007,31.5,5,0,254,7.9,567,17.7
Drexel,71,31,2071,66.8,1876,60.5,6.3,74.2,490,708,69.2,1591,44.2,0,0,0,381,12.29,431,13.903,1051,33.9,1012,32.6,1.3,0,260,8.4,563,18.2
Duke,72,32,2246,70.2,1968,61.5,8.7,68.8,461,666,69.2,1696,46.9,0,0,0,422,13.188,492,15.375,1123,35.1,973,30.4,4.7,0,236,7.4,558,17.4
Duquesne,73,29,2271,78.3,2450,84.5,-6.2,34.5,422,568,74.3,1833,43.9,0,0,0,465,16.034,433,14.931,940,32.4,1105,38.1,-5.7,0,217,7.5,566,19.5
East Carolina,74,30,1779,59.3,2025,67.5,-8.2,20,317,548,57.8,1599,39.7,0,0,0,370,12.333,421,14.033,1026,34.2,1116,37.2,-3,0,184,6.1,554,18.5
Eastern Ill.,75,30,1832,61.1,1988,66.3,-5.2,33.3,397,547,72.6,1587,40.8,0,0,0,358,11.933,416,13.867,1030,34.3,998,33.3,1.1,0,167,5.6,566,18.9
Eastern Ky.,76,32,2086,65.2,2003,62.6,2.6,65.6,320,469,68.2,1632,46.2,0,0,0,463,14.469,430,13.438,914,28.6,1024,32,-3.4,0,251,7.8,436,13.6
Eastern Mich.,77,32,2039,63.7,2207,69,-5.3,40.6,400,583,68.6,1664,42,0,0,0,374,11.688,570,17.812,1049,32.8,1051,32.8,-0.1,0,220,6.9,632,19.8
Eastern Wash.,78,29,2443,84.2,2394,82.6,1.7,51.7,561,762,73.6,1708,49.5,0,0,0,514,17.724,446,15.379,1010,34.8,1009,34.8,0,0,207,7.1,560,19.3
Elon,79,30,1874,62.5,2112,70.4,-7.9,23.3,327,483,67.7,1642,41.7,0,0,0,334,11.133,436,14.533,1002,33.4,1086,36.2,-2.8,0,188,6.3,575,19.2
ETSU,80,33,2429,73.6,2223,67.4,6.2,72.7,463,642,72.1,1920,45.8,0,0,0,527,15.97,557,16.879,1210,36.7,1197,36.3,0.4,0,328,9.9,662,20.1
Evansville,81,31,2131,68.7,2113,68.2,0.6,45.2,497,678,73.3,1539,45.7,0,0,0,429,13.839,399,12.871,959,30.9,1014,32.7,-1.8,0,148,4.8,598,19.3
Fairfield,82,32,1996,62.4,2070,64.7,-2.3,40.6,459,648,70.8,1652,41,0,0,0,409,12.781,472,14.75,1025,32,1016,31.8,0.3,0,223,7,613,19.2
Fairleigh Dickinson,83,30,2193,73.1,2254,75.1,-2,46.7,430,619,69.5,1826,42.9,0,0,0,389,12.967,400,13.333,1075,35.8,1095,36.5,-0.7,0,190,6.3,531,17.7
FIU,85,29,1920,66.2,2077,71.6,-5.4,41.4,376,574,65.5,1620,42,0,0,0,340,11.724,444,15.31,990,34.1,1004,34.6,-0.5,0,197,6.8,541,18.7
Fla. Atlantic,86,31,2321,74.9,2419,78,-3.2,51.6,462,666,69.4,1706,48.9,0,0,0,475,15.323,476,15.355,1024,33,1036,33.4,-0.4,0,208,6.7,628,20.3
Florida,87,34,2697,79.3,2093,61.6,17.8,85.3,511,751,68,1843,52.7,0,0,0,536,15.765,476,14,1264,37.2,1014,29.8,7.4,0,241,7.1,533,15.7
Florida A&M,88,34,2398,70.5,2390,70.3,0.2,61.8,559,837,66.8,1817,45,0,0,0,464,13.647,610,17.941,1249,36.7,1128,33.2,3.6,0,239,7,622,18.3
Florida St.,89,32,2372,74.1,2201,68.8,5.3,62.5,467,608,76.8,1790,47.2,0,0,0,394,12.312,460,14.375,1017,31.8,1014,31.7,0.1,0,249,7.8,569,17.8
Fordham,90,30,1964,65.5,1925,64.2,1.3,60,418,624,67,1556,43.6,0,0,0,409,13.633,426,14.2,949,31.6,1031,34.4,-2.7,0,220,7.3,579,19.3
Fort Wayne,91,29,1982,68.3,2029,70,-1.6,41.4,355,522,68,1565,44.7,0,0,0,445,15.345,421,14.517,906,31.2,1012,34.9,-3.7,0,198,6.8,563,19.4
Fresno St.,92,31,2205,71.1,2030,65.5,5.6,71,442,682,64.8,1776,41.6,0,0,0,441,14.226,416,13.419,1201,38.7,1293,41.7,-3,0,178,5.7,506,16.3
Furman,93,31,2102,67.8,2127,68.6,-0.8,48.4,377,516,73.1,1676,44.3,0,0,0,444,14.323,459,14.806,1004,32.4,1015,32.7,-0.4,0,205,6.6,579,18.7
Ga. Southern,94,31,2144,69.2,2116,68.3,0.9,48.4,360,593,60.7,1802,45.3,0,0,0,435,14.032,512,16.516,1159,37.4,1058,34.1,3.3,0,213,6.9,614,19.8
Gardner-Webb,95,30,1902,63.4,2163,72.1,-8.7,30,292,461,63.3,1652,41.4,0,0,0,405,13.5,482,16.067,961,32,1104,36.8,-4.8,0,217,7.2,576,19.2
George Mason,96,33,2090,63.3,1951,59.1,4.2,54.5,319,496,64.3,1708,46.3,0,0,0,463,14.03,405,12.273,1077,32.6,1001,30.3,2.3,0,195,5.9,491,14.9
George Washington,97,31,2203,71.1,1990,64.2,6.9,74.2,413,586,70.5,1751,46.3,0,0,0,456,14.71,424,13.677,1054,34,1024,33,1,0,289,9.3,587,18.9
Georgetown,98,32,2191,68.5,1820,56.9,11.6,81.3,422,588,71.8,1548,50.6,0,0,0,459,14.344,440,13.75,1065,33.3,881,27.5,5.8,0,167,5.2,528,16.5
Georgia,99,31,2337,75.4,2118,68.3,7.1,58.1,355,533,66.6,1882,46.2,0,0,0,459,14.806,488,15.742,1186,38.3,1005,32.4,5.8,0,277,8.9,540,17.4
Georgia St.,100,31,1993,64.3,2226,71.8,-7.5,35.5,443,675,65.6,1595,42.9,0,0,0,339,10.935,491,15.839,1047,33.8,1092,35.2,-1.5,0,177,5.7,515,16.6
Georgia Tech,101,31,2452,79.1,2155,69.5,9.6,64.5,434,635,68.3,1848,49.2,0,0,0,480,15.484,492,15.871,1125,36.3,938,30.3,6,0,310,10,642,20.7
Gonzaga,102,33,2611,79.1,2313,70.1,9,69.7,560,746,75.1,1876,48.7,0,0,0,478,14.485,463,14.03,1241,37.6,1094,33.2,4.5,0,206,6.2,637,19.3
Grambling,103,26,1669,64.2,1824,70.2,-6,46.2,351,527,66.6,1489,40,0,0,0,274,10.538,437,16.808,957,36.8,973,37.4,-0.6,0,156,6,509,19.6
Green Bay,105,33,2232,67.6,2173,65.8,1.8,54.5,530,697,76,1730,43.1,0,0,0,371,11.242,385,11.667,1088,33,1093,33.1,-0.2,0,172,5.2,548,16.6
Hampton,106,31,2113,68.2,2128,68.6,-0.5,48.4,488,737,66.2,1683,42.3,0,0,0,366,11.806,389,12.548,1116,36,1050,33.9,2.1,0,285,9.2,720,23.2
Hartford,107,31,1925,62.1,2029,65.5,-3.4,41.9,399,591,67.5,1613,40.9,0,0,0,348,11.226,452,14.581,925,29.8,1100,35.5,-5.6,0,263,8.5,598,19.3
Harvard,108,28,2025,72.3,2168,77.4,-5.1,42.9,497,655,75.9,1572,44.3,0,0,0,317,11.321,540,19.286,913,32.6,931,33.3,-0.6,0,192,6.9,471,16.8
Hawaii,109,31,2245,72.4,2062,66.5,5.9,58.1,453,621,72.9,1772,45.9,0,0,0,539,17.387,497,16.032,1181,38.1,1043,33.6,4.5,0,201,6.5,581,18.7
High Point,110,32,2406,75.2,2201,68.8,6.4,68.8,418,616,67.9,1910,46.5,0,0,0,530,16.562,363,11.344,1177,36.8,1152,36,0.8,0,220,6.9,621,19.4
Hofstra,111,31,2268,73.2,2149,69.3,3.8,71,479,684,70,1699,45.4,0,0,0,371,11.968,501,16.161,1032,33.3,1043,33.6,-0.4,0,183,5.9,591,19.1
Holy Cross,112,33,2120,64.2,1893,57.4,6.9,75.8,482,656,73.5,1653,43.8,0,0,0,453,13.727,383,11.606,1061,32.2,917,27.8,4.4,0,315,9.5,598,18.1
Houston,113,33,2415,73.2,2328,70.5,2.6,54.5,457,639,71.5,2068,39.4,0,0,0,378,11.455,503,15.242,1155,35,1338,40.5,-5.5,0,276,8.4,668,20.2
Howard,115,31,2009,64.8,2232,72,-7.2,29,417,638,65.4,1596,42.5,0,0,0,375,12.097,458,14.774,939,30.3,1093,35.3,-5,0,161,5.2,548,17.7
Idaho,116,31,1907,61.5,2307,74.4,-12.9,12.9,346,511,67.7,1717,38.9,0,0,0,312,10.065,405,13.065,976,31.5,1230,39.7,-8.2,0,149,4.8,587,18.9
Idaho St.,117,30,2012,67.1,2025,67.5,-0.4,43.3,396,566,70,1565,44.2,0,0,0,353,11.767,396,13.2,1030,34.3,984,32.8,1.5,0,179,6,499,16.6
Ill.-Chicago,118,32,2224,69.5,2257,70.5,-1,43.8,441,612,72.1,1875,41.4,0,0,0,421,13.156,470,14.688,1169,36.5,1149,35.9,0.6,0,212,6.6,559,17.5
Illinois,119,34,2193,64.5,1943,57.1,7.4,67.6,416,665,62.6,1785,43.2,0,0,0,476,14,468,13.765,1194,35.1,1027,30.2,4.9,0,202,5.9,582,17.1
Illinois St.,120,31,2068,66.7,2016,65,1.7,48.4,359,557,64.5,1624,45.4,0,0,0,463,14.935,371,11.968,999,32.2,990,31.9,0.3,0,215,6.9,572,18.5
Indiana,122,30,2127,70.9,1865,62.2,8.7,66.7,403,566,71.2,1645,45.2,0,0,0,401,13.367,388,12.933,999,33.3,936,31.2,2.1,0,199,6.6,624,20.8
Indiana St.,123,31,1908,61.5,2034,65.6,-4.1,41.9,426,602,70.8,1589,39.9,0,0,0,329,10.613,536,17.29,991,32,1057,34.1,-2.1,0,157,5.1,579,18.7
Iona,124,30,1758,58.6,2096,69.9,-11.3,54.8,356,617,57.7,1583,40.8,0,0,0,308,10.267,417,13.9,1047,34.9,1064,35.5,-0.6,0,180,6,611,20.4
Iowa,125,31,2121,68.4,2035,65.6,2.8,48.4,448,602,74.4,1684,43.9,0,0,0,451,14.548,458,14.774,1027,33.1,1057,34.1,-1,0,211,6.8,562,18.1
Iowa St.,126,31,1972,63.6,2027,65.4,-1.8,50,377,540,69.8,1705,40.8,0,0,0,362,11.677,399,12.871,1118,36.1,1066,34.4,1.7,0,141,4.5,510,16.5
IUPUI,127,30,2039,68,2026,67.5,0.4,61.8,464,615,75.4,1618,42,0,0,0,340,11.333,529,17.633,1007,33.6,945,31.5,2.1,0,189,6.3,527,17.6
Jackson St.,128,34,2421,71.2,2460,72.4,-1.1,51.7,527,745,70.7,2038,41.9,0,0,0,459,13.5,481,14.147,1231,36.2,1280,37.6,-1.4,0,281,8.3,704,20.7
Jacksonville,129,29,2125,73.3,2189,75.5,-2.2,30,432,607,71.2,1735,43.7,0,0,0,409,14.103,422,14.552,1040,35.9,1000,34.5,1.4,0,252,8.7,596,20.6
Jacksonville St.,130,30,1999,66.6,2146,71.5,-4.9,23.3,363,539,67.3,1696,43.1,0,0,0,416,13.867,420,14,1037,34.6,1086,36.2,-1.6,0,216,7.2,596,19.9
James Madison,131,30,1919,64,2178,72.6,-8.6,88.2,405,606,66.8,1546,43.6,0,0,0,348,11.6,476,15.867,902,30.1,937,31.2,-1.2,0,181,6,613,20.4
Kansas,132,34,2667,78.4,2075,61,17.4,66.7,488,732,66.7,2016,49,0,0,0,570,16.765,456,13.412,1373,40.4,1117,32.9,7.5,0,303,8.9,636,18.7
Kansas St.,133,33,2343,71,2151,65.2,5.8,41.9,545,781,69.8,1848,43,0,0,0,511,15.485,425,12.879,1192,36.1,1091,33.1,3.1,0,191,5.8,625,18.9
Kennesaw St.,134,31,2106,67.9,2170,70,-2.1,65.6,399,619,64.5,1914,39.6,0,0,0,414,13.355,440,14.194,1110,35.8,1129,36.4,-0.6,0,307,9.9,585,18.9
Kent St.,135,32,2195,68.6,1998,62.4,6.2,65.6,388,604,64.2,1777,45.5,0,0,0,463,14.469,470,14.688,1076,33.6,1033,32.3,1.3,0,261,8.2,595,18.6
Kentucky,136,32,2353,73.5,2156,67.4,6.2,33.3,445,636,70,1766,47.9,0,0,0,508,15.875,478,14.938,1166,36.4,1065,33.3,3.2,0,191,6,507,15.8
La Salle,137,30,2150,71.7,2241,74.7,-3,56.3,445,648,68.7,1683,45.8,0,0,0,427,14.233,459,15.3,1088,36.3,951,31.7,4.6,0,190,6.3,561,18.7
La.-Monroe,138,32,2305,72,2317,72.4,-0.4,30,438,614,71.3,1874,42.2,0,0,0,414,12.938,511,15.969,1129,35.3,1168,36.5,-1.2,0,202,6.3,553,17.3
Lafayette,139,30,1938,64.6,2210,73.7,-9.1,46.9,414,572,72.4,1486,42.7,0,0,0,410,13.667,534,17.8,813,27.1,1057,35.2,-8.1,0,219,7.3,596,19.9
Lamar University,140,32,2367,74,2438,76.2,-2.2,38.7,471,730,64.5,1859,43.8,0,0,0,554,17.312,464,14.5,1228,38.4,1198,37.4,0.9,0,187,5.8,600,18.8
Lehigh,141,31,1981,63.9,1984,64,-0.1,45.2,450,638,70.5,1590,42.8,0,0,0,375,12.097,469,15.129,1046,33.7,980,31.6,2.1,0,196,6.3,620,20
Liberty,142,31,2369,76.4,2298,74.1,2.3,58.1,421,598,70.4,1862,48.1,0,0,0,471,15.194,369,11.903,1178,38,1074,34.6,3.4,0,210,6.8,645,20.8
Lipscomb,143,31,2101,67.8,2017,65.1,2.7,43.3,429,609,70.4,1730,41.4,0,0,0,412,13.29,449,14.484,1048,33.8,1077,34.7,-0.9,0,221,7.1,586,18.9
Little Rock,144,30,1979,66,2075,69.2,-3.2,34.5,454,678,67,1590,42.8,0,0,0,393,13.1,423,14.1,1068,35.6,924,30.8,4.8,0,157,5.2,549,18.3
LIU Brooklyn,145,29,2006,69.2,2118,73,-3.9,77.4,439,655,67,1656,40.8,0,0,0,321,11.069,432,14.897,1040,35.9,1082,37.3,-1.4,0,168,5.8,557,19.2
Long Beach St.,146,31,2489,80.3,2287,73.8,6.5,29,480,684,70.2,1929,45.3,0,0,0,443,14.29,515,16.613,1143,36.9,1158,37.4,-0.5,0,235,7.6,537,17.3
Longwood,147,31,2012,64.9,2292,73.9,-9,30,413,588,70.2,1787,40.3,0,0,0,406,13.097,446,14.387,1071,34.5,1179,38,-3.5,0,229,7.4,558,18
Louisiana,148,30,2013,67.1,2161,72,-4.9,33.3,410,620,66.1,1728,42.1,0,0,0,343,11.433,432,14.4,1103,36.8,1056,35.2,1.6,0,162,5.4,572,19.1
Louisiana Tech,149,30,1922,64.1,2081,69.4,-5.3,71.9,308,493,62.5,1794,40.6,0,0,0,355,11.833,407,13.567,1086,36.2,1036,34.5,1.7,0,208,6.9,619,20.6
