Team name,Team ID,Games,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
A&M-Corpus Christi,1,32,2552,79.8,2226,69.6,10.2,81.3,582,822,70.8,1701,52.4,0,0,0,579,18.094,520,16.25,1139,35.6,930,29.1,6.5,0,252,7.9,605,18.9
Air Force,3,31,2137,68.9,1738,56.1,12.9,74.2,424,560,75.7,1457,49.1,0,0,0,472,15.226,319,10.29,851,27.5,901,29.1,-1.6,0,205,6.6,464,15
Akron,4,33,2485,75.3,2014,61,14.3,78.8,440,657,67,1857,48.5,0,0,0,503,15.242,414,12.545,1159,35.1,1081,32.8,2.4,0,267,8.1,611,18.5
Alabama,5,31,2282,73.6,2134,68.8,4.8,64.5,456,644,70.8,1776,45.8,0,0,0,407,13.129,424,13.677,1200,38.7,1074,34.6,4.1,0,173,5.6,435,14
Alabama A&M,6,30,1856,61.9,2052,68.4,-6.5,33.3,400,633,63.2,1690,38.6,0,0,0,324,10.8,539,17.967,1071,35.7,1324,44.1,-8.4,0,224,7.5,600,20
Alabama St.,7,30,1826,60.9,2007,66.9,-6,33.3,447,690,64.8,1650,36.4,0,0,0,283,9.4333,421,14.033,1031,34.4,1123,37.4,-3.1,0,183,6.1,607,20.2
Albany (NY),8,32,2184,68.3,2063,64.5,3.8,71.9,413,572,72.2,1704,45.5,0,0,0,420,13.125,428,13.375,1087,34,977,30.5,3.4,0,189,5.9,615,19.2
Alcorn,9,30,2012,67.1,2265,75.5,-8.4,36.7,456,678,67.3,1706,41.3,0,0,0,283,9.4333,561,18.7,1077,35.9,1108,36.9,-1,0,196,6.5,719,24
American,10,30,1945,64.8,1865,62.2,2.7,53.3,417,572,72.9,1584,42.8,0,0,0,404,13.467,414,13.8,1037,34.6,969,32.3,2.3,0,173,5.8,563,18.8
Appalachian St.,11,32,2449,76.5,2166,67.7,8.8,78.1,418,606,69,1850,48.2,0,0,0,504,15.75,473,14.781,1113,34.8,1064,33.3,1.5,0,271,8.5,578,18.1
