,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
54,Colorado St.,55,33,2378,72.1,2095,63.5,8.6,81.8,516,760,67.9,1837,44.1,677,35.5,36.1,486,14.7,353,10.7,1240,37.6,1042,31.6,6,845,184,5.6,556,16.8
55,Columbia,56,28,1816,64.9,1737,62,2.8,46.4,298,416,71.6,1453,43.8,670,36.4,32.9,333,11.9,328,11.7,916,32.7,848,30.3,2.4,629,137,4.9,502,17.9
56,Coppin St.,57,31,2219,71.6,2558,82.5,-10.9,25.8,408,590,69.2,1906,39.8,826,35.7,37.8,390,12.6,418,13.5,994,32.1,1326,42.8,-10.7,675,207,6.7,632,20.4
57,Cornell,58,30,1868,62.3,1838,61.3,1,43.3,457,610,74.9,1558,39.5,579,31.3,32.8,312,10.4,359,12,981,32.7,1092,36.4,-3.7,733,187,6.2,569,19
58,Creighton,59,33,2221,67.3,2207,66.9,0.4,42.4,467,644,72.5,1776,42,759,34.5,38.1,449,13.6,391,11.8,1138,34.5,1073,32.5,2,790,147,4.5,591,17.9
59,CSU Bakersfield,60,33,2100,63.6,2028,61.5,2.2,42.4,484,669,72.3,1703,42,554,33.6,36.3,427,12.9,409,12.4,1143,34.6,983,29.8,4.8,775,190,5.8,673,20.4
60,CSUN,61,33,2148,65.1,2325,70.5,-5.4,27.3,558,729,76.5,1742,42.5,337,32.6,36.1,443,13.4,435,13.2,1133,34.3,1113,33.7,0.6,808,180,5.5,597,18.1
61,Dartmouth,62,28,1763,63,1742,62.2,0.8,50,339,525,64.6,1446,43.6,467,35.1,35.1,344,12.3,359,12.8,916,32.7,889,31.8,1,628,213,7.6,538,19.2
62,Davidson,63,31,2477,79.9,2138,69,10.9,77.4,386,543,71.1,1861,47.1,849,39.7,30.1,534,17.2,297,9.6,1114,35.9,1086,35,0.9,789,170,5.5,586,18.9
63,Dayton,64,33,2251,68.2,2010,60.9,7.3,75.8,538,789,68.2,1620,46.3,605,35.2,31.7,456,13.8,379,11.5,1041,31.5,1077,32.6,-1.1,796,230,7,525,15.9
64,Delaware,65,30,1979,66,2161,72,-6.1,33.3,430,627,68.6,1646,41,576,34.5,37,376,12.5,367,12.2,1061,35.4,1119,37.3,-1.9,747,128,4.3,522,17.4
65,Delaware St.,66,35,2476,70.7,2529,72.3,-1.5,51.4,466,654,71.3,2059,42.1,780,35.4,33.4,426,12.2,469,13.4,1343,38.4,1291,36.9,1.5,930,171,4.9,600,17.1
66,Denver,67,30,1865,62.2,1890,63,-0.8,40,327,427,76.6,1369,48,589,38,37.1,457,15.2,338,11.3,717,23.9,859,28.6,-4.7,569,179,6,611,20.4
67,DePaul,68,32,2220,69.4,2354,73.6,-4.2,37.5,458,635,72.1,1739,43.5,705,35.2,31.2,395,12.3,428,13.4,969,30.3,1144,35.8,-5.5,677,212,6.6,679,21.2
68,Detroit Mercy,69,33,2334,70.7,2335,70.8,0,45.5,423,619,68.3,1889,44.5,602,38.4,34,444,13.5,436,13.2,1109,33.6,1117,33.8,-0.2,766,254,7.7,687,20.8
69,Drake,70,,,,,,,29,370,482,76.8,1396,45.6,490,40.8,38.8,370,11.9,409,13.2,810,26.1,910,29.4,-3.2,618,138,4.5,485,15.6
70,Drexel,71,30,1787,59.6,1930,64.3,-4.8,36.7,383,514,74.5,1569,39.1,540,32.6,35.3,317,10.6,313,10.4,948,31.6,1039,34.6,-3,661,155,5.2,523,17.4
71,Duke,72,33,2660,80.6,2164,65.6,15,87.9,522,755,69.1,1880,50.2,648,38.6,32,512,15.5,371,11.2,1232,37.3,1027,31.1,6.2,831,237,7.2,528,16
72,Duquesne,73,,,,,,,38.7,362,577,62.7,1788,44.9,663,37,38.3,466,15,381,12.3,1124,36.3,1124,36.3,0,771,159,5.1,559,18
73,East Carolina,74,33,2116,64.1,2176,65.9,-1.8,42.4,383,563,68,1777,42.2,663,35.1,31.3,443,13.4,379,11.5,1048,31.8,1152,34.9,-3.2,715,208,6.3,571,17.3
74,Eastern Ill.,75,31,1932,62.3,1962,63.3,-1,54.8,341,529,64.5,1574,43.7,589,36.5,34.3,400,12.9,366,11.8,939,30.3,1106,35.7,-5.4,696,173,5.6,505,16.3
75,Eastern Ky.,76,30,2157,71.9,1890,63,8.9,63.3,423,543,77.9,1595,46.3,742,34.8,38.4,437,14.6,348,11.6,812,27.1,992,33.1,-6,600,291,9.7,518,17.3
76,Eastern Mich.,77,34,2362,69.5,2159,63.5,6,61.8,573,802,71.4,1902,41.2,718,31.1,32.2,359,10.6,400,11.8,1244,36.6,1262,37.1,-0.5,852,294,8.6,640,18.8
77,Eastern Wash.,78,34,2746,80.8,2504,73.6,7.1,76.5,509,704,72.3,1981,48,832,40.3,38.5,448,13.2,367,10.8,1155,34,1149,33.8,0.2,814,216,6.4,603,17.7
78,Elon,79,33,2329,70.6,2329,70.6,0,45.5,475,695,68.3,1906,42.3,684,35.1,33.8,394,11.9,440,13.3,1151,34.9,1225,37.1,-2.2,796,213,6.5,691,20.9
79,ETSU,80,30,2201,73.4,2140,71.3,2,53.3,477,661,72.2,1712,42.2,764,36.6,34.9,382,12.7,381,12.7,1052,35.1,1082,36.1,-1,721,235,7.8,611,20.4
80,Evansville,81,31,2148,69.3,2003,64.6,4.7,61.3,524,703,74.5,1569,47.8,360,34.4,34.3,482,15.5,399,12.9,993,32,973,31.4,0.6,745,174,5.6,535,17.3
81,Fairfield,82,31,1845,59.5,2041,65.8,-6.3,22.6,419,585,71.6,1578,38.9,614,32.2,34.3,324,10.5,396,12.8,979,31.6,1118,36.1,-4.5,693,154,5,592,19.1
82,Fairleigh Dickinson,83,29,1956,67.4,2130,73.4,-6,27.6,386,557,69.3,1658,41.1,628,33.1,34.8,325,11.2,372,12.8,868,29.9,1145,39.5,-9.6,569,252,8.7,648,22.3
83,FGCU,84,,,,,,,68.8,394,586,67.2,1822,43.1,561,33.7,28.2,449,14,378,11.8,1225,38.3,1125,35.2,3.1,831,180,5.6,545,17
84,FIU,85,33,2060,62.4,2153,65.2,-2.8,48.5,411,647,63.5,1694,44.2,487,31,32.8,374,11.3,493,14.9,1129,34.2,1144,34.7,-0.5,816,224,6.8,613,18.6
85,Fla. Atlantic,86,29,1815,62.6,1934,66.7,-4.1,31,301,447,67.3,1556,41.8,606,35,28.8,295,10.2,367,12.7,898,31,1015,35,-4,636,126,4.3,522,18
86,Florida,87,33,2101,63.7,1980,60,3.7,48.5,351,553,63.5,1763,43.4,674,32.3,32.8,431,13.1,409,12.4,1095,33.2,1058,32.1,1.1,747,228,6.9,558,16.9
87,Florida A&M,88,29,1607,55.4,2115,72.9,-17.5,6.9,368,567,64.9,1500,37.3,421,28.3,35.1,241,8.3,415,14.3,914,31.5,1114,38.4,-6.9,633,143,4.9,518,17.9
88,Florida St.,89,33,2197,66.6,2210,67,-0.4,51.5,524,783,66.9,1669,45.7,470,31.3,32.5,380,11.5,478,14.5,1109,33.6,1069,32.4,1.2,781,181,5.5,612,18.5
89,Fordham,90,31,2015,65,2144,69.2,-4.2,32.3,406,559,72.6,1713,41.5,613,30.5,34.7,390,12.6,452,14.6,1117,36,1024,33,3,744,209,6.7,582,18.8
90,Fort Wayne,91,30,2094,69.8,1999,66.6,3.2,53.3,430,627,68.6,1545,47.1,592,35.5,34.7,425,14.2,352,11.7,971,32.4,951,31.7,0.7,734,172,5.7,483,16.1
91,Fresno St.,92,32,2086,65.2,2123,66.3,-1.2,46.9,457,662,69,1692,42.8,559,32,34.7,336,10.5,358,11.2,1010,31.6,1111,34.7,-3.2,724,250,7.8,644,20.1
92,Furman,93,33,2098,63.6,2245,68,-4.5,33.3,480,717,66.9,1636,42.8,658,32.8,35.4,342,10.4,438,13.3,1068,32.4,1093,33.1,-0.8,752,183,5.5,582,17.6
93,Ga. Southern,94,31,2112,68.1,1865,60.2,8,71,412,616,66.9,1765,41.5,740,31.6,30.5,361,11.6,365,11.8,1160,37.4,1099,35.5,2,769,226,7.3,522,16.8
94,Gardner-Webb,95,34,2541,74.7,2508,73.8,1,58.8,500,752,66.5,1974,44.7,793,34.9,37.1,551,16.2,418,12.3,1208,35.5,1186,34.9,0.6,824,227,6.7,552,16.2
95,George Mason,96,31,1996,64.4,2147,69.3,-4.9,29,450,676,66.6,1663,42.6,406,32,34.6,315,10.2,445,14.4,1113,35.9,1018,32.8,3.1,722,187,6,638,20.6
96,George Washington,97,33,2217,67.2,2025,61.4,5.8,63.6,477,700,68.1,1771,44.1,508,35,32,387,11.7,408,12.4,1217,36.9,1068,32.4,4.5,817,181,5.5,521,15.8
97,Georgetown,98,31,2192,70.7,2004,64.6,6.1,67.7,511,728,70.2,1650,45.5,521,34.7,35.9,408,13.2,392,12.6,1089,35.1,1003,32.4,2.8,742,240,7.7,626,20.2
98,Georgia,99,32,2187,68.3,2054,64.2,4.2,65.6,551,800,68.9,1673,43.5,524,34.4,30.9,403,12.6,408,12.8,1217,38,1082,33.8,4.2,869,179,5.6,589,18.4
99,Georgia St.,100,33,2375,72,2053,62.2,9.8,72.7,504,693,72.7,1778,48,492,33.1,32.2,450,13.6,352,10.7,1082,32.8,1102,33.4,-0.6,773,300,9.1,607,18.4
100,Georgia Tech,101,31,1962,63.3,2002,64.6,-1.3,38.7,363,560,64.8,1800,40.8,491,26.7,31.9,362,11.7,394,12.7,1187,38.3,962,31,7.3,743,177,5.7,516,16.6
101,Gonzaga,102,34,2690,79.1,2071,60.9,18.2,94.1,502,725,69.2,1856,52.4,593,40.8,32.4,561,16.5,359,10.6,1286,37.8,1041,30.6,7.2,941,211,6.2,580,17.1
102,Grambling,103,29,1509,52,2105,72.6,-20.6,6.9,380,584,65.1,1417,36.1,366,28.7,32.6,225,7.8,486,16.8,928,32,1033,35.6,-3.6,634,154,5.3,551,19
103,Grand Canyon,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Green Bay,105,32,2196,68.6,1937,60.5,8.1,75,447,692,64.6,1747,46.1,459,29.8,33.1,451,14.1,377,11.8,1139,35.6,1051,32.8,2.8,781,238,7.4,588,18.4
105,Hampton,106,33,2216,67.2,2244,68,-0.8,48.5,523,802,65.2,1847,40.8,615,30.4,34.4,350,10.6,469,14.2,1224,37.1,1193,36.2,0.9,820,220,6.7,711,21.5
106,Hartford,107,30,1858,61.9,1924,64.1,-2.2,46.7,333,477,69.8,1596,40.4,722,32.5,31.9,362,12.1,364,12.1,936,31.2,1045,34.8,-3.6,672,187,6.2,555,18.5
107,Harvard,108,29,1861,64.2,1660,57.2,6.9,75.9,420,589,71.3,1493,43.5,399,35.3,32.7,375,12.9,342,11.8,999,34.4,891,30.7,3.7,695,204,7,456,15.7
108,Hawaii,109,35,2551,72.9,2387,68.2,4.7,62.9,523,762,68.6,2056,43.8,702,32.2,34,465,13.3,467,13.3,1231,35.2,1268,36.2,-1.1,810,337,9.6,712,20.3
109,High Point,110,31,2272,73.3,2101,67.8,5.5,71,438,599,73.1,1717,47.7,504,38.9,34.5,460,14.8,349,11.3,1019,32.9,1007,32.5,0.4,717,200,6.5,488,15.7
110,Hofstra,111,33,2587,78.4,2303,69.8,8.6,60.6,542,776,69.8,1947,44.9,804,36.7,34,510,15.5,370,11.2,1207,36.6,1123,34,2.5,819,248,7.5,623,18.9
111,Holy Cross,112,30,1979,66,2020,67.3,-1.4,46.7,406,568,71.5,1643,42.1,557,33.9,37.3,334,11.1,328,10.9,930,31,980,32.7,-1.7,626,228,7.6,582,19.4
112,Houston,113,,,,,,,40.6,391,575,68,1795,39.3,809,32,33.7,376,11.8,425,13.3,1129,35.3,1162,36.3,-1,726,184,5.8,565,17.7
113,Houston Baptist,114,28,2028,72.4,2063,73.7,-1.3,42.9,443,611,72.5,1596,45.6,399,32.3,36,348,12.4,429,15.3,1061,37.9,884,31.6,6.3,695,166,5.9,585,20.9
114,Howard,115,32,2032,63.5,2004,62.6,0.9,50,493,705,69.9,1621,42.9,501,29.7,31.5,270,8.4,517,16.2,1110,34.7,1060,33.1,1.6,757,242,7.6,596,18.6
115,Idaho,116,30,2301,76.7,2269,75.6,1.1,43.3,455,642,70.9,1726,46.6,572,41.3,35.3,405,13.5,360,12,1086,36.2,966,32.2,4,774,140,4.7,634,21.1
116,Idaho St.,117,,,,,,,23.3,391,601,65.1,1589,44,420,35.2,36.7,337,11.2,355,11.8,972,32.4,1025,34.2,-1.8,670,207,6.9,526,17.5
117,Ill.-Chicago,118,34,2201,64.7,2389,70.3,-5.5,29.4,549,745,73.7,1870,38.7,629,32.4,39.5,413,12.1,375,11,1142,33.6,1167,34.3,-0.7,751,205,6,609,17.9
118,Illinois,119,32,2223,69.5,2021,63.2,6.3,59.4,462,582,79.4,1838,41.6,647,35.7,32.4,379,11.8,318,9.9,1098,34.3,1082,33.8,0.5,764,202,6.3,556,17.4
119,Illinois St.,120,33,2267,68.7,2064,62.5,6.2,63.6,447,625,71.5,1844,43.8,583,35,33,388,11.8,425,12.9,1180,35.8,1032,31.3,4.5,760,240,7.3,633,19.2
120,Incarnate Word,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Indiana,122,33,2557,77.5,2357,71.4,6.1,60.6,451,631,71.5,1930,46.6,764,40.3,32.8,463,14,379,11.5,1187,36,1083,32.8,3.2,792,167,5.1,580,17.6
122,Indiana St.,123,31,2060,66.5,2101,67.8,-1.3,48.4,473,674,70.2,1601,42.5,631,35.7,38.3,398,12.8,437,14.1,1008,32.5,1082,34.9,-2.4,737,175,5.6,562,18.1
123,Iona,124,34,2707,79.6,2476,72.8,6.8,76.5,517,734,70.4,1980,46.8,846,40,35.2,560,16.5,415,12.2,1208,35.5,1266,37.2,-1.7,878,221,6.5,584,17.2
124,Iowa,125,32,2221,69.4,1980,61.9,7.5,65.6,524,703,74.5,1776,42.7,545,33.2,32.4,460,14.4,361,11.3,1206,37.7,1072,33.5,4.2,805,211,6.6,508,15.9
125,Iowa St.,126,33,2586,78.4,2286,69.3,9.1,75.8,497,714,69.6,1908,48,703,36.6,35.2,534,16.2,364,11,1184,35.9,1144,34.7,1.2,870,209,6.3,512,15.5
126,IUPUI,127,31,1883,60.7,2080,67.1,-6.4,32.3,373,532,70.1,1623,42.6,426,29.6,38.4,348,11.2,482,15.5,1009,32.5,976,31.5,1.1,691,218,7,635,20.5
127,Jackson St.,128,32,1941,60.7,2032,63.5,-2.8,34.4,386,597,64.7,1812,38.7,558,27.4,34.1,324,10.1,459,14.3,1187,37.1,1045,32.7,4.4,727,203,6.3,695,21.7
128,Jacksonville,129,32,2058,64.3,2303,72,-7.7,31.3,453,685,66.1,1710,41,566,35.9,35.8,341,10.7,394,12.3,1008,31.5,1141,35.7,-4.2,691,207,6.5,578,18.1
129,Jacksonville St.,130,31,1939,62.5,2126,68.6,-6,38.7,466,651,71.6,1698,38.1,598,29.9,34.9,371,12,377,12.2,1043,33.6,1163,37.5,-3.9,697,191,6.2,606,19.5
130,James Madison,131,32,2145,67,2181,68.2,-1.1,59.4,491,697,70.4,1598,45.1,586,36.5,35.4,401,12.5,422,13.2,1038,32.4,1057,33,-0.6,751,205,6.4,518,16.2
131,Kansas,132,34,2421,71.2,2199,64.7,6.5,76.5,579,804,72,1869,44,528,37.5,30.9,451,13.3,435,12.8,1290,37.9,1166,34.3,3.6,888,222,6.5,599,17.6
132,Kansas St.,133,,,,,,,46.9,495,732,67.6,1593,43.3,421,33.5,33.5,417,13,424,13.3,1015,31.7,969,30.3,1.4,677,195,6.1,639,20
133,Kennesaw St.,134,32,2027,63.3,2363,73.8,-10.5,31.3,379,518,73.2,1775,40.4,661,32.4,33.1,331,10.3,455,14.2,1094,34.2,1201,37.5,-3.3,751,173,5.4,567,17.7
134,Kent St.,135,,,,,,,65.6,431,667,64.6,1695,42.7,628,36,31.8,337,10.5,361,11.3,1117,34.9,1069,33.4,1.5,750,164,5.1,582,18.2
135,Kentucky,136,34,2547,74.9,1835,54,20.9,100,596,825,72.2,1884,46.9,529,35,27.4,500,14.7,361,10.6,1298,38.2,1045,30.7,7.4,859,223,6.6,579,17
136,La Salle,137,33,2086,63.2,2055,62.3,0.9,51.5,444,640,69.4,1757,42,517,32.1,31.6,398,12.1,429,13,1126,34.1,1144,34.7,-0.5,794,211,6.4,582,17.6
137,La.-Monroe,138,33,2121,64.3,1970,59.7,4.6,63.6,350,492,71.1,1871,42.9,543,30.8,29.3,434,13.2,380,11.5,1223,37.1,1131,34.3,2.8,855,168,5.1,512,15.5
138,Lafayette,139,32,2374,74.2,2316,72.4,1.8,62.5,415,542,76.6,1744,48.8,622,41.3,37.7,499,15.6,351,11,992,31,1057,33,-2,720,179,5.6,504,15.8
139,Lamar University,140,30,2146,71.5,2132,71.1,0.5,50,477,701,68,1658,45.2,532,31.8,35.5,392,13.1,465,15.5,1061,35.4,989,33,2.4,685,224,7.5,623,20.8
140,Lehigh,141,30,2042,68.1,2000,66.7,1.4,53.3,430,593,72.5,1640,44.1,475,34.5,34,429,14.3,393,13.1,1085,36.2,1041,34.7,1.5,791,168,5.6,531,17.7
141,Liberty,142,31,1967,63.5,2162,69.7,-6.3,22.6,446,634,70.3,1605,42.9,457,31.7,34.9,339,10.9,509,16.4,1088,35.1,1042,33.6,1.5,758,172,5.5,590,19
142,Lipscomb,143,31,2232,72,2322,74.9,-2.9,45.2,497,715,69.5,1769,41.9,770,32.9,37.5,432,13.9,412,13.3,1112,35.9,1128,36.4,-0.5,767,175,5.6,662,21.4
143,Little Rock,144,31,2146,69.2,2180,70.3,-1.1,41.9,445,632,70.4,1779,41.7,636,34.4,37,380,12.3,326,10.5,1063,34.3,1143,36.9,-2.6,734,174,5.6,588,19
