,Team name,Team ID,GM,PTS,PPG,OPP PTS,OPP PPG,SCR MAR,Win %,FT,FTA,FT%,FGA,FG%,3FGA,3FG%,Opp 3FG%,AST,APG,TO,TOPG,REB,RPG,OPP REB,OPP RPG,REB MAR,DREB,ST,STPG,Fouls,PFPG
326,Vermont,327,31,2051,66.2,1789,57.7,8.5,58.1,443,633,70,1542,46.7,462,36.4,31.6,405,13.1,398,12.8,1022,33,974,31.4,1.5,772,204,6.6,592,19.1
327,Villanova,328,34,2593,76.3,2070,60.9,15.4,94.1,565,777,72.7,1833,47,787,38.9,30.8,541,15.9,369,10.9,1170,34.4,1093,32.1,2.3,819,265,7.8,564,16.6
328,Virginia,329,32,2091,65.3,1622,50.7,14.7,90.6,407,563,72.3,1644,46.3,449,36.1,30.3,413,12.9,304,9.5,1158,36.2,908,28.4,7.8,829,179,5.6,456,14.3
329,Virginia Tech,330,33,2156,65.3,2289,69.4,-4,33.3,357,558,64,1747,44.6,619,38.9,35.1,395,12,386,11.7,978,29.6,1188,36,-6.4,704,144,4.4,598,18.1
330,VMI,331,30,2415,80.5,2428,80.9,-0.4,36.7,415,607,68.4,2074,40,1078,31.7,33.8,408,13.6,449,15,1178,39.3,1262,42.1,-2.8,744,255,8.5,646,21.5
331,Wagner,332,30,2052,68.4,2206,73.5,-5.1,33.3,429,616,69.6,1804,40,574,31.2,37.7,324,10.8,420,14,1112,37.1,1021,34,3,667,195,6.5,681,22.7
332,Wake Forest,333,32,2209,69,2307,72.1,-3.1,40.6,479,751,63.8,1809,42.1,614,33.6,33.8,451,14.1,428,13.4,1200,37.5,1100,34.4,3.1,825,208,6.5,579,18.1
333,Washington,334,31,2128,68.6,2105,67.9,0.7,51.6,405,593,68.3,1747,43.8,579,33.3,33.1,412,13.3,361,11.6,1082,34.9,1101,35.5,-0.6,753,152,4.9,535,17.3
334,Washington St.,335,31,2189,70.6,2373,76.5,-5.9,41.9,489,679,72,1712,43.4,626,34.2,37.4,453,14.6,367,11.8,1026,33.1,1110,35.8,-2.7,744,120,3.9,570,18.4
335,Weber St.,336,30,2010,67,2041,68,-1,43.3,511,683,74.8,1518,42.2,607,35.7,35.8,358,11.9,402,13.4,997,33.2,994,33.1,0.1,714,158,5.3,539,18
336,West Virginia,337,32,2366,73.9,2139,66.8,7.1,71.9,527,798,66,1975,41.2,669,31.8,36.6,465,14.5,418,13.1,1177,36.8,1063,33.2,3.6,638,350,10.9,747,23.3
337,Western Caro.,338,32,2251,70.3,2284,71.4,-1,46.9,456,651,70,1839,43.4,576,34.2,35.5,375,11.7,435,13.6,1130,35.3,1120,35,0.3,729,260,8.1,671,21
338,Western Ill.,339,28,1747,62.4,1983,70.8,-8.4,28.6,323,463,69.8,1543,40.1,537,35,34.9,335,12,352,12.6,907,32.4,1054,37.6,-5.3,700,148,5.3,483,17.3
339,Western Ky.,340,32,2285,71.4,2149,67.2,4.3,62.5,451,690,65.4,1824,43.5,685,36.2,32.7,456,14.3,413,12.9,1190,37.2,1126,35.2,2,827,175,5.5,580,18.1
340,Western Mich.,341,33,2344,71,2268,68.7,2.3,60.6,510,728,70.1,1747,45.9,625,36.8,34.8,416,12.6,391,11.8,1075,32.6,1053,31.9,0.7,746,212,6.4,604,18.3
341,Wichita St.,342,32,2231,69.7,1786,55.8,13.9,87.5,439,638,68.8,1756,44.6,619,36.2,34.3,445,13.9,301,9.4,1138,35.6,970,30.3,5.3,758,225,7,534,16.7
342,William & Mary,343,32,2347,73.3,2138,66.8,6.5,62.5,441,601,73.4,1661,48.9,704,40.1,34.6,476,14.9,371,11.6,1029,32.2,1036,32.4,-0.2,798,196,6.1,499,15.6
343,Winthrop,344,32,2356,73.6,2159,67.5,6.2,59.4,481,664,72.4,1810,44.9,701,35.8,32.4,388,12.1,387,12.1,1127,35.2,1143,35.7,-0.5,795,224,7,574,17.9
344,Wisconsin,345,34,2444,71.9,1908,56.1,15.8,91.2,487,638,76.3,1793,48,663,35.7,36,432,12.7,252,7.4,1145,33.7,942,27.7,6,823,154,4.5,409,12
345,Wofford,346,34,2278,67,2033,59.8,7.2,82.4,463,672,68.9,1745,45.8,572,37.6,30.9,454,13.4,371,10.9,1102,32.4,1054,31,1.4,792,223,6.6,574,16.9
346,Wright St.,347,31,1989,64.2,2107,68,-3.8,35.5,365,525,69.5,1619,44.2,571,34,35.4,407,13.1,373,12,903,29.1,1060,34.2,-5.1,670,168,5.4,594,19.2
347,Wyoming,348,34,2097,61.7,1903,56,5.7,73.5,445,629,70.7,1573,46.2,620,32.3,34.3,487,14.3,380,11.2,1025,30.1,1023,30.1,0.1,813,189,5.6,464,13.6
348,Xavier,349,34,2501,73.6,2300,67.6,5.9,61.8,517,713,72.5,1870,47.3,613,34.9,34.9,557,16.4,411,12.1,1184,34.8,1060,31.2,3.6,844,207,6.1,614,18.1
349,Yale,350,32,2164,67.6,1931,60.3,7.3,68.8,464,653,71.1,1667,44.4,595,37,31,437,13.7,406,12.7,1139,35.6,956,29.9,5.7,779,188,5.9,552,17.3
350,Youngstown St.,351,32,2287,71.5,2394,74.8,-3.3,34.4,465,670,69.4,1826,44.2,588,35.4,36.9,450,14.1,374,11.7,1056,33,1173,36.7,-3.7,741,192,6,586,18.3
