,Team name,Team ID,Games,Win %,FG %,FT %,3pt %,opp 3pt %,assists,turnovers,defensive rebounds per game,offensive rebounds per game,steals per game,personal fouls per game,PPG,opp PPG,score margin,assists per game,turnovers per gae,3FGA
218,Oregon,219,34,85.3,48.1,71.1,37.8,31.1,558,394,25.94,10.44,6.5,16,79.1,65,14.1,16.412,11.588,773
219,Oregon St.,220,32,15.6,42.8,66.1,34.6,35.9,380,491,23.5,9.06,5.5,19.1,63.2,72.5,-9.4,11.875,15.344,586
220,Pacific,221,33,33.3,40.4,67.5,33,35.3,396,386,25.42,11.67,4.2,20.9,66.8,71.8,-5,12,11.697,560
221,Penn,222,28,46.4,44.3,65.7,33.9,36,401,359,25.21,9.54,6.5,17.9,68.9,68,0.9,14.321,12.821,690
222,Penn St.,223,33,45.5,41.4,74.5,33.9,36.3,452,430,25.42,10,6.8,18.1,71.7,72.7,-1,13.697,13.03,679
223,Pepperdine,224,31,29,44.6,64.1,36.9,41.8,420,389,23.77,9.52,5.1,17.1,69,80.3,-11.3,13.548,12.548,482
224,Pittsburgh,225,33,48.5,44.2,73.3,36.1,35.6,473,396,25.61,9.48,3.8,16.7,72.8,74.7,-1.8,14.333,12,729
225,Portland,226,33,33.3,42.3,74,37.3,35.6,325,424,24.85,8.42,4.9,17.6,67.1,72.2,-5.1,9.8485,12.848,573
226,Portland St.,227,31,48.4,48.2,65.8,34.1,36.9,491,376,23.94,10.39,9.9,19,85.3,81.8,3.5,15.839,12.129,697
227,Prairie View,228,33,39.4,42.8,70.3,35,35.1,404,436,22,8.85,8.3,21.2,69,73.3,-4.4,12.242,13.212,678
228,Presbyterian,229,30,16.7,41.2,68.6,34.6,38.8,364,451,22.63,10,4.8,17.3,61.2,74.8,-13.6,12.133,15.033,523
229,Princeton,230,29,79.3,45.2,73.4,38.3,33.2,416,289,25.14,8.28,6.8,16.1,72.1,61.5,10.6,14.345,9.9655,758
230,Providence,231,32,62.5,44.7,69.1,36.8,32.7,454,403,24.56,8.97,6.7,17.1,70.3,66.6,3.6,14.188,12.594,625
231,Purdue,232,32,78.1,48,76.4,40.6,32.3,580,419,28.09,9.84,5.2,15.8,80.1,67.2,13,18.125,13.094,709
232,Quinnipiac,233,31,32.3,42.2,68.3,32.6,38,447,448,25.52,13.94,5.7,19.6,76.7,83.3,-6.6,14.419,14.452,700
233,Radford,234,32,43.8,41.3,66.6,34.5,35.7,393,470,25.72,12.38,4.8,17.2,65.3,70.2,-4.9,12.281,14.688,716
234,Rhode Island,235,33,72.7,45.2,65.7,34,29,443,370,25.55,11.88,6.4,20.9,73.4,64.9,8.5,13.424,11.212,609
235,Rice,236,33,66.7,46,73.7,38.9,33.4,454,490,27.85,10.27,6.2,19.2,81.5,75.4,6.1,13.758,14.848,800
236,Richmond,237,32,62.5,46.6,71.2,34.2,31.6,542,373,24.28,6.91,6.8,18.4,74.1,71.5,2.6,16.938,11.656,731
237,Rider,238,33,54.5,44.6,67.2,33.2,33.7,466,481,27.58,12.76,6.6,19.8,75.7,75.8,-0.1,14.121,14.576,539
238,Robert Morris,239,33,42.4,40,64.7,31.9,29.8,348,497,23.52,11,7.9,20.3,64.4,67.8,-3.4,10.545,15.061,574
239,Rutgers,240,33,45.5,41.1,62.3,30.3,32.7,362,437,25.42,14.55,6.6,17.8,65.5,67.1,-1.6,10.97,13.242,502
240,Sacramento St.,241,31,41.9,45.9,65.1,31.6,38.1,408,360,25.65,9.87,4.7,18.3,71.1,74.3,-3.2,13.161,11.613,506
241,Sacred Heart,242,32,40.6,44.2,70.1,33.5,37.9,459,516,26.03,11.28,6.8,19.3,72.7,76.1,-3.4,14.344,16.125,597
242,Saint Francis (PA),243,32,50,46.4,69.7,38.8,36.6,433,476,26.13,10.78,6.7,16.3,75.6,74.1,1.6,13.531,14.875,658
243,Saint Joseph's,244,31,35.5,41.8,65,32.4,34.9,352,371,25.19,11.32,4.8,17.7,69.5,73.1,-3.5,11.355,11.968,537
244,Saint Louis,245,33,36.4,40.4,66.3,34.2,35.6,423,441,24.67,8.45,5,19.4,61.4,69.3,-7.9,12.818,13.364,672
245,Saint Mary's (CA),246,32,87.5,49.6,74.8,39.9,30.3,536,337,26,9.63,4.2,14.8,72,56.5,15.5,16.75,10.531,706
246,Saint Peter's,247,32,59.4,43.5,71,38.3,32.3,386,354,24.44,8.44,7,16.2,66.5,61.8,4.7,12.062,11.062,668
247,Sam Houston St.,248,34,61.8,43.7,68.6,31.7,34.3,507,466,25.88,11.79,7,22.3,74.3,71.3,3,14.912,13.706,669
248,Samford,249,34,55.9,46.7,74,40.3,33.4,554,466,26.65,9.76,6.3,19.2,79.4,76.3,3.1,16.294,13.706,673
249,San Diego,250,31,41.9,40.7,72.1,34.8,36.6,376,379,24.97,8.19,3.9,19.4,65.3,71.3,-6,12.129,12.226,741
250,San Diego St.,251,33,57.6,41.6,69.8,31.7,32.4,360,387,25.73,10.61,6.9,17.3,68.5,62.5,5.9,10.909,11.727,736
251,San Francisco,252,32,62.5,45.3,62.8,35.7,33.2,414,404,26.44,9.34,6.6,19.4,71.4,66.8,4.7,12.938,12.625,818
252,San Jose St.,253,30,46.7,44.1,70.1,34.8,34.7,417,395,24.37,9.43,6.3,19.6,73.2,74.8,-1.7,13.9,13.167,574
253,Santa Clara,254,33,51.5,43.6,73.2,38.2,37.7,464,341,23.58,6.15,5.2,18.7,66.8,65.4,1.4,14.061,10.333,832
254,Savannah St.,255,29,44.8,41,64.8,33.2,33.2,501,431,27.97,12.34,7.8,19.7,85.7,91.9,-6.2,17.276,14.862,1182
255,Seattle U,256,30,43.3,43.3,70.7,34.3,31.5,476,436,26.27,7.43,6.6,19,69.7,71.4,-1.7,15.867,14.533,757
256,Seton Hall,257,32,65.6,45,64.3,33.8,34,394,434,26.5,13.06,6.9,18.6,73.3,70.2,3.1,12.312,13.562,580
257,SFA,258,32,56.3,44.9,71.8,32,34.9,398,560,23.47,11.44,6.8,21.9,70,68.7,1.3,12.438,17.5,590
258,Siena,259,34,50,45.2,71.1,32.7,33.9,460,476,25.12,12.65,5.9,19.6,75,74.7,0.2,13.529,14,568
