,Team name,Team ID,Games,Win %,FG %,FT %,3pt %,opp 3pt %,assists,turnovers,defensive rebounds per game,offensive rebounds per game,steals per game,personal fouls per game,PPG,opp PPG,score margin,assists per game,turnovers per gae,3FGA
329,Virginia Tech,330,32,68.8,49,73.4,40.3,36,483,388,25.22,7.31,4,16.4,79.3,74.4,4.8,15.094,12.125,703
330,VMI,331,30,20,41.2,69,31.6,39.6,356,395,22.8,10.2,6.3,19.8,68.6,78.2,-9.6,11.867,13.167,786
331,Wagner,332,30,53.3,42.8,69.1,33.2,33.6,326,422,25,14.47,4.9,20.5,68.2,65.8,2.5,10.867,14.067,552
332,Wake Forest,333,32,59.4,47.2,77.2,38.7,35.8,498,378,26.06,10.69,5.5,20.1,82.7,77.9,4.8,15.562,11.812,670
333,Washington,334,31,29,44.8,65.4,35.4,39.9,408,425,24.35,12.94,6.1,20.3,76.4,81.1,-4.7,13.161,13.71,639
334,Washington St.,335,31,41.9,46.1,75.6,36.4,35.1,453,389,25.55,6.42,4.2,16.2,70.3,76.6,-6.4,14.613,12.548,574
335,Weber St.,336,32,59.4,48.8,73.5,41.8,36.1,417,364,25.22,7.09,5.3,17.8,80,73.3,6.6,13.031,11.375,697
336,West Virginia,337,34,76.5,45.8,67.8,36.1,34.9,569,417,22.97,14.32,10.4,20.6,82,66.3,15.6,16.735,12.265,711
337,Western Caro.,338,32,28.1,39,65.3,30.7,35.5,364,516,23.81,12.41,6.2,20.7,61.4,73.3,-11.9,11.375,16.125,592
338,Western Ill.,339,28,28.6,43.5,70.7,38.8,40.6,375,369,27.64,6.93,4.6,19.5,71.9,76.8,-5,13.393,13.179,654
339,Western Ky.,340,32,46.9,44,67.1,35.4,36.8,397,388,25.5,9.44,4.5,14.8,69,71.9,-2.9,12.406,12.125,605
340,Western Mich.,341,32,50,45,70.4,37.1,36.2,414,399,24.53,11.56,5.7,18.8,75.5,75.3,0.3,12.938,12.469,564
341,Wichita St.,342,34,88.2,47.3,73.4,40.8,30.9,563,379,28.88,11.97,6.9,18.9,82.1,62.4,19.6,16.559,11.147,725
342,William & Mary,343,31,54.8,49.1,69.2,38.2,34.8,543,388,27.48,8.74,5.4,18.3,81.7,77.8,4,17.516,12.516,740
343,Winthrop,344,32,81.3,45.7,72,37.3,31,411,421,27.63,9.78,6.6,18.2,79.7,70.2,9.5,12.844,13.156,814
344,Wisconsin,345,34,73.5,45.2,64.4,35.5,37.7,460,373,24.97,12.35,6.9,15.7,71.9,61.4,10.5,13.529,10.971,723
345,Wofford,346,33,48.5,46.7,78,40.3,34.2,552,405,23.76,9.79,5.6,18.7,78.6,75.1,3.5,16.727,12.273,771
346,Wright St.,347,32,62.5,44.9,76.4,38.1,33.8,472,474,25.31,10.19,5.7,18.6,77,72.4,4.6,14.75,14.812,749
347,Wyoming,348,32,56.3,42.7,72.8,34.2,31.5,478,433,29.94,8.56,5.4,21.4,77.5,75.5,2,14.938,13.531,898
348,Xavier,349,34,61.8,45.4,68.8,34,33.8,505,435,25.38,12.21,6.1,18.8,74.6,71.4,3.3,14.853,12.794,703
349,Yale,350,29,62.1,46.7,73.2,35.7,32.9,455,377,26.1,10.38,5.6,15.7,74.2,69.9,4.2,15.69,13,583
350,Youngstown St.,351,34,38.2,44,67.2,33.3,34.6,513,406,26.21,10.44,5.5,16.7,76.9,82.3,-5.4,15.088,11.941,750
