Team1,Team2,Score1,Score2
USC,Baylor,82,78
South Carolina,Duke,81,88
Belmont,Georgia Tech,71,57
Michigan St.,Kansas,90,70
Wichita St.,Kentucky,65,62
Michigan,Louisville,69,73
Arkansas,UNC,72,65
Rhode Island,Oregon,75,72
Oakland,Richmond,87,83
Cincinnati,UCLA,79,67
