Team,Opponent,Result,Score
Wichita State ,Arizona ,W,65-55
Yale ,Baylor ,W,79-75
UConn ,Colorado ,W,74-67
North Carolina-Wilmington ,Duke ,L,93-85
Jackson State,Grand Canyon,L,64-54
Chattanooga ,Indiana ,L,99-74
Iona ,Iowa State ,L,94-81
Austin Peay ,Kansas ,L,105-79
Stony Brook ,Kentucky ,L,85-57
Buffalo ,Miami ,L,79-72
Florida Gulf Coast ,UNC ,L,83-67
Gonzaga ,Seton Hall ,W,68-52
Providence ,USC ,W,70-69
Butler ,Texas Tech ,W,71-61
Fresno State ,Utah ,L,80-69
Florida State,Valparaiso,L,81-69
Hampton ,Virginia ,L,81-45
