Team1,Team2,Score1,Score2
Yale,Columbia,69,72
Louisiana Tech,Florida St.,78,75
Old Dominion,Fresno St.,71,64
Virginia Military Institute,Ohio,90,92
San Diego,Pacific,75,60
Illinois St.,Siena,61,49
University of California,SMU,67,65
