Team1,Team2,Score1,Score2
Mercer,BYU,90,71
UC-Irvine,Oral Roberts,76,62
Robert Morris,Providence,77,68
Santa Clara,Purdue,83,86
Louisiana Tech,Southern Miss,63,52
Richmond,Wright St.,57,51
