Team1,Team2,Score1,Score2
Wisconsin,Bucknell,62,71
North Carolina St.,UConn,62,65
Mississippi St.,Duke,63,55
Villanova,Florida,65,76
Louisville,Georgia Tech,54,76
UNC,Iowa St.,65,92
Vermont,Michigan St.,72,61
Southern Illinois,Oklahoma St.,85,77
