Team1,Team2,Score1,Score2
Arizona,Alabama-Birmingham,63,85
Milwaukee,Boston College,75,83
Kentucky,Cincinnati,60,69
Texas A&M,DePaul,72,75
Texas Tech,Gonzaga,69,71
Nevada,Illinois,71,59
Virginia Tech,Memphis,83,62
Davidson,Missouri St.,71,82
Utah,Oklahoma,58,67
Washington,Pacific,79,97
Buffalo,St. Joseph's,55,50
Western Kentucky,Wichita St.,84,81
