Team,Opponent,Result,Score
Alabama State,Arizona State,L,64-53
Mount St. Mary's,Coppin State,W,69-60
Rhode Island,Creighton,L,74-73
Stephen F. Austin,UMass,L,80-60
Maryland,Minnesota,W,68-58
Houston,Nevada,W,80-79
Brown,Ohio,L,80-74
North Carolina-Asheville,Ohio State,L,84-66
Rider,Old Dominion,L,68-65
Oklahoma State,Southern Illinois,L,69-53
Robert Morris,Syracuse,L,87-81
Richmond,Virginia,L,66-64
