Team1,Team2,Score1,Score2
Gonzaga,Akron,64,77
Villanova,American,67,80
Duke,Binghamton,62,86
Texas A&M,BYU,66,79
LSU,Butler,71,75
Memphis,Cal St. Northridge,70,81
Maryland,University of California,71,84
UConn,Chattanooga,47,103
Michigan,Clemson,59,62
Western Kentucky,Illinois,72,76
Texas,Minnesota,62,76
Washington,Mississippi St.,58,71
Oklahoma,Morgan St.,54,82
Radford,UNC,101,58
Purdue,Northern Iowa,56,61
New Mexico,Notre Dame,70,68
Citadel,Old Dominion,67,59
Rhode Island,Penn St.,83,72
VCU,UCLA,65,64
