Team1,Team2,Score1,Score2
Texas-Arlington,BYU,89,105
Colorado,UCF,79,74
Hampton,Coastal Carolina,83,67
Loyola (MD),George Mason,58,73
Toledo,George Washington,73,69
Belmont,Georgia,69,78
Utah Valley,Georgia Southern,49,74
Akron,Houston,75,78
Stephen F. Austin,Idaho,73,50
UC-Irvine,Illinois St.,85,71
South Dakota,Iowa,87,75
Ball St.,IPFW,88,80
Fairfield,UMBC,88,83
Green Bay,UMKC,92,82
UC-Davis,North Carolina Central,63,67
USC,Providence,71,75
San Francisco,Rice,85,76
North Carolina-Greensboro,Syracuse,90,77
Georgia St.,Texas A&M-Corpus Christi,80,64
Fresno St.,Texas Christian,66,59
Eastern Washington,Wyoming,91,81
