Team,Opponent,Result,Score
Utah,Arizona,L,84-71
Temple,Arizona State,L,66-57
Tulsa,Auburn,L,74-55
USC,Boston College,W,72-55
Wake Forest,Cleveland State,L,84-69
Missouri,Cornell,W,78-59
West Virginia,Dayton,L,68-60
Pitt,ETSU,W,72-62
Miami (FL),Florida,L,74-60
North Dakota State,Kansas,L,84-74
Morehead State,Louisville,L,74-54
Utah State,Marquette,L,58-57
Robert Morris,Michigan State,L,77-62
Tennessee,Oklahoma State,L,77-75
Xavier,Portland State,W,77-59
Kansas State,San Diego State,L,70-52
Syracuse,Stephen F. Austin,W,59-44
