Team,Opponent,Result,Score
UT-Martin,Auburn,L,87-82
Georgetown,Baylor,L,74-72
Austin Peay,Bradley,L,81-74
Bowling Green State,Creighton,L,73-71
Belmont,Evansville,W,92-76
Jacksonville,Florida,L,84-62
Vermont,Green Bay,W,76-72
Drake,Idaho,L,69-67
Mount St. Mary's,James Madison,L,69-58
Illinois State,Kansas State,L,83-79
Houston,Oregon State,L,49-45
Portland,Pacific,L,82-76
Miami (FL),Providence,W,78-66
St. John's (NY),Richmond,L,75-69
Boise State,Stanford,L,96-76
College of Charleston,Troy,W,93-91
Northwestern,Tulsa,L,68-59
Buffalo,Wichita State,L,84-73
