Team,Opponent,Result,Score
Weber State ,Arizona ,L,68-59
Nebraska ,Baylor ,L,74-60
Robert Morris,Belmont,L,82-71
Wichita State ,Cal Poly ,W,64-37
Virginia ,Coastal Carolina ,W,70-59
Louisiana-Lafayette ,Creighton ,L,76-66
Mercer ,Duke ,W,78-71
Towson,ETSU,W,83-77
Kansas ,Eastern Kentucky ,W,80-69
Memphis ,George Washington ,W,71-66
Oklahoma State ,Gonzaga ,L,85-77
North Carolina Central ,Iowa State ,L,93-75
Kentucky ,Kansas State ,W,56-49
Tennessee ,UMass ,W,86-67
Stanford ,New Mexico ,W,58-53
Providence ,UNC ,L,79-77
UCLA ,Tulsa ,W,76-59
