Team1,Team2,Score1,Score2
Northeastern,Alabama,62,43
Washington,BYU,90,79
George Mason,College of Charleston,77,78
Ohio,Denver,61,57
Savannah St.,East Carolina,66,65
Tennessee St.,Evansville,84,72
Louisiana Tech,Florida St.,66,71
Eastern Kentucky,Gardner-Webb,62,69
Rider,Hartford,54,63
North Carolina A&T,Liberty,72,73
Boston University,Loyola (MD),70,63
Niagara,Maryland,86,70
Saint Mary's,Middle Tennessee,54,67
Kentucky,Robert Morris,59,57
St. John's (NY),St. Joseph's,61,63
Vermont,Santa Clara,77,67
Stephen F. Austin,Stanford,58,57
Norfolk St.,Virginia,67,56
Lehigh,Wyoming,67,66
Oakland,Youngstown St.,99,87
