Team,Opponent,Result,Score
Duke ,Albany ,W,73-61
Arizona State,Baylor,L,89-86
Creighton ,Cincinnati ,W,67-63
Illinois ,Colorado ,W,57-49
Northwestern State ,Florida ,L,79-47
Georgetown ,Florida Gulf Coast ,L,78-68
James Madison ,Indiana ,L,83-62
Ohio State ,Iona ,W,95-70
Stony Brook,Iowa,L,75-63
Notre Dame ,Iowa State ,L,76-58
Western Kentucky ,Kansas ,L,64-57
La Salle ,Kansas State ,W,63-61
Pacific ,Miami ,L,78-49
UCLA ,Minnesota ,L,83-63
Wisconsin ,Ole Miss ,L,57-46
Villanova ,UNC ,L,78-71
Temple ,North Carolina State ,W,76-72
San Diego State ,Oklahoma ,W,70-55
