Team,Opponent,Result,Score
Morehead State,Alabama State,W,58-43
UNLV,Kentucky,L,70-60
Rider,Liberty,L,79-64
UTEP,Nevada,W,79-77
Nebraska,New Mexico,L,83-71
Rhode Island,Niagara,W,68-62
Alabama-Birmingham,Notre Dame,L,70-64
Kent State,Oakland,L,80-74
Washington State,Saint Mary's (CA),L,68-57
Weber State,San Diego State,L,65-49
Davidson,South Carolina,W,70-63
Northeastern,Wyoming,W,64-62
