Team1,Team2,Score1,Score2
New Mexico,Alabama,74,67
Evansville,Boise St.,75,69
Rhode Island,UCF,66,54
Davidson,Creighton,102,92
Missouri St.,Miami (FL),81,72
SMU,Northern Iowa,50,57
Duquesne,Oregon,77,75
Oklahoma St.,Washington St.,74,64
