Team1,Team2,Score1,Score2
Manhattan,Albany (NY),79,89
Buffalo,American,61,78
Bucknell,Arizona,54,65
Delaware,Butler,75,58
South Florida,University of California,54,65
North Dakota,Drake,70,64
UCF,Drexel,81,56
Yale,Fairfield,68,56
UCSB,Idaho,86,83
Minnesota,La Salle,61,70
Vermont,Lamar,59,71
Rice,Louisiana-Lafayette,63,68
Cal St. Fullerton,Loyola Marymount,88,79
Valparaiso,Miami (FL),66,50
Bowling Green St.,Oakland,86,69
Nevada,Oral Roberts,59,68
Western Illinois,Oregon St.,80,59
Quinnipiac,Penn,74,63
Wofford,Pitt,81,63
Northern Iowa,St. Joseph's,65,67
Cal St. Bakersfield,Utah St.,75,69
North Dakota St.,Wyoming,78,75
