Team,Opponent,Result,Score
Duke ,Arkansas-Pine Bluff ,W,73-44
Louisville ,University of California ,L,77-62
Ohio State ,UCSB ,W,68-51
Missouri ,Clemson ,W,86-78
Temple ,Cornell ,L,78-65
Gonzaga ,Florida State ,W,67-60
Oklahoma State ,Georgia Tech ,L,64-59
Maryland ,Houston ,W,89-77
New Mexico State ,Michigan State ,L,70-67
Xavier ,Minnesota ,W,65-54
Memphis,Ole Miss,L,90-81
West Virginia ,Morgan State ,W,77-50
Pitt ,Oakland ,W,89-66
Siena ,Purdue ,L,72-64
Vermont ,Syracuse ,L,79-56
Utah State ,Texas A&M ,L,69-53
Wofford ,Wisconsin ,L,53-49
