Team1,Team2,Score1,Score2
Mercer,Coastal Carolina,65,57
Alabama,Creighton,72,54
Fairleigh Dickinson,Florida Gulf Coast,96,65
Davidson,Florida St.,84,74
Louisiana-Monroe,Furman,58,57
Florida,North Florida,68,97
New Mexico St.,Saint Mary's (CA),58,56
IPFW,San Diego St.,79,55
Morehead St.,Siena,80,84
High Point,South Carolina,88,66
Texas Southern,Valparaiso,84,73
Wichita St.,Vanderbilt,50,70
Long Beach St.,Washington,107,102
