Team1,Team2,Score1,Score2
Illinois,Boston University,62,66
Texas Southern,Cal Poly,81,69
Utah Valley,University of California,77,64
Vermont,Georgia,63,56
Pacific,Grand Canyon,67,69
Morehead St.,Illinois St.,77,67
Akron,IPFW,97,91
Iona,Louisiana Tech,89,88
Murray St.,Missouri St.,63,66
North Dakota,Nebraska-Omaha,91,75
Texas A&M-Corpus Christi,Northern Colorado,71,82
Cleveland St.,Ohio,64,62
South Dakota St.,Old Dominion,72,65
Radford,Oregon St.,92,96
Hampton,Penn St.,69,65
LSU,San Francisco,63,71
Towson,South Carolina Upstate,60,63
UC-Irvine,SMU,68,54
Toledo,Southern Miss,66,59
Wyoming,Texas A&M,59,43
Fresno St.,UTEP,56,61
Princeton,Tulane,55,56
Quinnipiac,Yale,69,68
