Team1,Team2,Score1,Score2
Xavier,Arizona,68,60
West Virginia,Kentucky,78,39
Evansville,Louisiana-Lafayette,82,89
Wisconsin,UNC,72,79
Wichita St.,Notre Dame,81,70
