Team1,Team2,Score1,Score2
North Carolina St.,Alabama-Birmingham,72,52
Old Dominion,Baylor,76,68
Kansas St.,BYU,72,84
Murray St.,Butler,54,52
Northern Iowa,Kansas,67,69
Wake Forest,Kentucky,90,60
UNC,Mississippi St.,74,76
Washington,New Mexico,64,82
Tennessee,Ohio,68,83
Villanova,Saint Mary's,75,68
Jacksonville,Texas Tech,69,64
