Team,Opponent,Result,Score
Virginia Tech,BYU,L,80-77
Hawaii ,University of California ,W,77-66
Syracuse ,Dayton ,W,70-51
South Dakota State ,Maryland ,L,79-74
Middle Tennessee ,Michigan State ,W,90-81
Michigan ,Notre Dame ,L,70-63
Cal State Bakersfield ,Oklahoma ,L,82-68
Holy Cross ,Oregon ,L,91-52
VCU ,Oregon State ,W,75-67
Cincinnati ,St. Joseph's ,L,78-76
Northern Iowa ,Texas ,W,75-72
Green Bay ,Texas A&M ,L,92-65
North Carolina-Asheville ,Villanova ,L,86-56
Stephen F. Austin ,West Virginia ,W,70-56
Pitt ,Wisconsin ,L,47-43
Weber State ,Xavier ,L,71-53
