Team1,Team2,Score1,Score2
Duke,University of California,53,68
Wisconsin,Cornell,87,69
Ohio St.,Georgia Tech,66,75
Syracuse,Gonzaga,65,87
Michigan St.,Maryland,83,85
West Virginia,Missouri,59,68
Xavier,Pitt,68,71
