Team1,Team2,Score1,Score2
New Hampshire,Coastal Carolina,71,62
Wagner,Creighton,87,54
Yale,Duke,71,64
Louisiana-Lafayette,Furman,72,80
Arkansas-Little Rock,Iowa St.,78,61
UConn,Kansas,73,61
Indiana,Kentucky,67,73
Wichita St.,Miami,65,57
Providence,UNC,85,66
Gonzaga,Utah,59,82
Butler,Virginia,77,69
