Team,Opponent,Result,Score
Virginia,Albany,W,84-57
Purdue,Arizona,W,72-63
USC,Arkansas,W,77-60
Jackson State,Florida,L,112-69
UNLV,Georgia Tech,W,67-63
Southern Illinois,Holy Cross,W,61-51
Virginia Tech,Illinois,W,54-52
Niagara,Kansas,L,107-67
Villanova,Kentucky,L,67-58
Tennessee,Long Beach State,W,121-86
North Texas,Memphis,L,73-58
Oregon,Miami,W,58-56
Texas,New Mexico State,W,79-67
Marist,North Carolina State,L,69-62
Winthrop,Notre Dame,W,74-64
Wisconsin,Texas A&M-Corpus Christi,W,76-63
