Team1,Team2,Score1,Score2
UT-Martin,Campbell,73,56
Loyola (MD),Coastal Carolina,72,63
Cal St. Bakersfield,Colorado St.,63,81
Boise St.,Illinois,71,56
George Washington,UIC,80,71
UCF,Illinois St.,62,63
Samford,Liberty,66,58
Utah Valley,Rice,79,85
Weber St.,Texas A&M-Corpus Christi,82,73
Akron,Texas-Arlington,85,69
UMKC,Wyoming,72,61
