Team,Opponent,Result,Score
Milwaukee,Alabama,W,83-73
LSU,Alabama-Birmingham,L,82-68
Utah State,Arizona,L,66-53
Penn,Boston College,L,85-65
Wake Forest,Chattanooga,W,70-54
Iowa,Cincinnati,L,76-64
West Virginia,Creighton,W,63-61
Kentucky,Eastern Kentucky,W,72-64
Illinois,Fairleigh Dickinson,W,67-55
Winthrop,Gonzaga,L,74-64
Washington,Montana,W,88-77
Texas,Nevada,L,61-57
Arizona State,UNLV,L,89-78
Oklahoma,Niagara,W,84-67
Pitt,Pacific,L,79-71
Utah,UTEP,W,60-54
UCLA,Texas Tech,L,78-66
