Team1,Team2,Score1,Score2
St. Peter's,Albany (NY),55,59
North Dakota,Arizona,100,82
Winthrop,Butler,76,64
Weber St.,Cal St. Fullerton,76,80
ETSU,Florida,80,65
Florida Gulf Coast,Florida St.,86,80
South Dakota St.,Gonzaga,66,46
Stony Brook,UIC,71,69
Nevada,Iowa St.,84,73
Xavier,Maryland,65,76
Middle Tennessee,Minnesota,72,81
Vanderbilt,Northwestern,68,66
Princeton,Notre Dame,60,58
Vermont,Purdue,80,70
VCU,Saint Mary's,85,77
Furman,South Carolina Upstate,57,79
North Carolina-Asheville,UT-Martin,89,75
Lamar,Texas St.,70,60
Mount St. Mary's,Villanova,76,56
North Carolina-Wilmington,Virginia,76,71
Bucknell,West Virginia,86,80
Virginia Tech,Wisconsin,84,74
