Team,Opponent,Result,Score
Seton Hall ,Arkansas ,L,77-71
New Mexico State ,Baylor ,L,91-73
Kansas State ,Cincinnati ,L,75-61
Rhode Island ,Creighton ,W,84-72
Wichita State ,Dayton ,W,64-58
Troy ,Duke ,L,87-65
UC-Davis ,Kansas ,L,100-62
Northern Kentucky ,Kentucky ,L,79-70
Jacksonville State ,Louisville ,L,78-63
Michigan State ,Miami ,W,78-58
Oklahoma State ,Michigan ,L,92-91
Texas Southern ,UNC ,L,103-64
Iona ,Oregon ,L,93-77
Marquette ,South Carolina ,L,93-73
USC ,SMU ,W,66-65
Kent State ,UCLA ,L,97-80
