Team1,Team2,Score1,Score2
Mount St. Mary's,Albany,71,64
Indiana St.,Arkansas,91,71
Virginia Military Institute,Canisius,100,111
Georgia St.,Clemson,78,66
Wright St.,East Carolina,59,73
Chattanooga,ETSU,79,66
Norfolk St.,Eastern Michigan,58,54
Florida Gulf Coast,Florida St.,58,53
West Virginia,Georgetown,77,65
Belmont,Green Bay,65,80
High Point,Minnesota,88,81
Davidson,Missouri,85,77
Xavier,North Carolina St.,74,59
Utah,Saint Mary's (CA),70,58
Alabama St.,Sam Houston St.,71,49
Portland St.,San Diego,87,65
Stony Brook,Siena,66,55
Robert Morris,St. John's (NY),78,89
Columbia,Valparaiso,56,58
