Team,Opponent,Result,Score
Georgetown,Boston College,W,62-55
Maryland,Butler,L,62-59
UCLA,Indiana,W,54-49
Texas A&M,Louisville,W,72-69
UNC,Michigan State,W,81-67
Bradley,Mississippi State,L,101-72
