Team,Opponent,Result,Score
South Dakota State ,Baylor ,L,68-60
Marquette ,BYU ,W,88-68
UNLV ,Colorado ,L,68-64
Murray State ,Colorado State ,W,58-41
Iowa State ,UConn ,W,77-64
Louisville ,Davidson ,W,69-62
West Virginia ,Gonzaga ,L,77-54
Vanderbilt ,Harvard ,W,79-70
New Mexico State ,Indiana ,L,79-66
Southern Miss ,Kansas State ,L,70-64
Western Kentucky ,Kentucky ,L,81-66
New Mexico ,Long Beach State ,W,75-68
Ohio State ,Loyola ,W,78-59
Wisconsin ,Montana ,W,73-49
Syracuse ,North Carolina-Asheville ,W,72-65
Kent State,South Carolina Upstate,L,73-58
Wichita State ,VCU ,L,62-59
