Team1,Team2,Score1,Score2
Coastal Carolina,Alabama-Birmingham,65,49
Jacksonville,Arizona St.,66,67
Winthrop,Arkansas-Pine Bluff,61,44
Northeastern,UConn,59,57
South Dakota,Creighton,89,78
VCU,George Washington,73,79
Western Carolina,Marshall,90,88
Jackson St.,Mississippi St.,81,67
William & Mary,UNC,80,72
Indiana St.,Saint Louis,63,54
Texas Tech,Seton Hall,69,87
North Carolina St.,South Florida,57,58
