Team,Opponent,Result,Score
Belmont,Austin Peay,L,65-59
UNLV,Boise State,L,84-69
Tennessee,George Mason,L,58-55
Georgia,Iowa State,L,82-74
West Virginia,Kent State,W,65-54
Rice,Milwaukee,L,91-63
Troy,Niagara,L,87-83
Purdue,Notre Dame,L,71-59
LSU,Oklahoma,L,70-61
Boston University,Rhode Island,L,80-52
Temple,Rutgers,L,76-71
Hawaii,Utah State,W,85-74
Drexel,Villanova,L,85-70
George Washington,Virginia,L,79-66
