Team1,Team2,Score1,Score2
Richmond,Alabama,64,71
Cal St. Bakersfield,University of California,66,73
Houston Baptist,Campbell,98,79
Oakland,Clemson,69,74
College of Charleston,Colorado St.,81,74
Indiana,Georgia Tech,75,63
Valparaiso,Illinois,82,57
Saint Francis (PA),Jacksonville,76,78
Wake Forest,Kansas St.,95,88
Ole Miss,Monmouth,83,91
New Orleans,Mount St. Mary's,67,66
Canisius,Samford,78,74
Boise St.,Utah,68,73
