Team1,Team2,Score1,Score2
Robert Morris,Fairfield,67,61
Minnesota,Middle Tennessee,72,78
Mercer,Old Dominion,73,79
Washington St.,Oregon St.,55,72
Nevada,Stanford,84,56
Loyola Marymount,Utah St.,77,69
