Team1,Team2,Score1,Score2
George Washington,Monmouth,71,87
Duquesne,Morehead St.,82,72
Eastern Washington,Nevada,85,70
Boston University,NJIT,83,72
North Carolina-Greensboro,Ohio,72,67
Washington,San Diego St.,93,78
Vermont,Seattle,54,73
Georgia Tech,South Carolina,66,83
