Team,Opponent,Result,Score
Boston University,Georgetown,L,64-34
Vanderbilt,Indiana,W,67-60
Oral Roberts,Maryland,L,85-72
Northeastern,Memphis,L,90-65
Texas Christian,Miami (OH),W,60-58
Rice,Missouri State,L,105-82
Hofstra,St. Joseph's,L,53-44
Denver,San Francisco,L,69-67
Clemson,Texas A&M,L,82-74
Davidson,VCU,W,77-62
Houston,Wichita State,L,85-69
