Team1,Team2,Score1,Score2
UNC,Arkansas,77,108
Georgetown,Davidson,74,70
Oklahoma,Louisville,78,48
Mississippi St.,Memphis,77,74
Texas,Miami,72,75
Western Kentucky,San Diego,63,72
Villanova,Siena,72,84
