Team,Opponent,Result,Score
UTSA ,Alabama State ,W,70-61
Ole Miss,University of California,L,77-74
St. Bonaventure,UCF,L,69-54
Texas Southern,Colorado,L,88-74
Portland,Hawaii,L,76-64
Florida Atlantic,Miami (FL),L,85-62
Duquesne,Montana,W,87-76
Milwaukee,Northwestern,L,70-61
Weber State,Oregon,L,68-59
Miami (OH),Rhode Island,L,76-59
Idaho,San Francisco,L,81-73
VCU ,USC ,W,59-46
Iona,Valparaiso,W,85-77
Bethune-Cookman,Virginia Tech,L,79-54
Long Beach State,Washington State,L,85-74
Tennessee Tech,Western Michigan,L,74-66
Nebraska,Wichita State,L,76-49
