Team1,Team2,Score1,Score2
Providence,Baylor,79,68
Western Michigan,George Mason,62,52
BYU,Southern Miss,62,79
Iowa,Virginia,64,75
Oral Roberts,Weber St.,83,74
Santa Clara,Wright St.,69,81
