Team1,Team2,Score1,Score2
Northern Illinois,UCSB,70,63
Louisiana Tech,ETSU,88,83
Nevada,Morehead St.,86,83
Tennessee Tech,Old Dominion,75,59
Oakland,Towson,72,90
