Team,Opponent,Result,Score
UCLA,Alabama,W,62-59
Montana,Boston College,L,69-56
George Washington,Duke,L,74-61
Milwaukee,Florida,L,82-60
Indiana,Gonzaga,L,90-80
Washington,Illinois,W,67-64
Texas A&M,LSU,L,58-57
Manhattan,Maryland,W,87-84
Wichita State,Tennessee,W,80-73
