Team1,Team2,Score1,Score2
Syracuse,Alabama,80,71
Vanderbilt,UConn,73,53
Marquette,Iowa St.,77,69
Oregon,Notre Dame,61,65
Pitt,Oklahoma St.,63,51
Wake Forest,St. Joseph's,84,80
