Team1,Team2,Score1,Score2
Oklahoma,Dayton,66,72
San Diego St.,Duke,68,49
Iowa,Gonzaga,87,68
Wichita St.,Kansas,65,78
Northern Iowa,Louisville,66,53
West Virginia,Maryland,59,69
Virginia,Michigan St.,60,54
Wisconsin,Oregon,65,72
Rhode Island,Stanford,74,65
George Washington,Temple,90,77
