Team1,Team2,Score1,Score2
Green Bay,Akron,66,70
Harvard,Appalachian St.,93,71
Weber St.,Cincinnati,76,62
Illinois St.,Dayton,63,42
College of Charleston,Eastern Kentucky,79,82
IUPUI,Hofstra,60,74
Tulsa,Kent St.,75,74
Pacific,Loyola Marymount,76,86
St. John's (NY),Memphis,73,71
Troy,Ole Miss,84,65
Middle Tennessee,Missouri St.,87,79
Colorado St.,Morehead St.,74,60
Portland,Northern Colorado,81,73
Boston University,Oregon St.,78,96
Duquesne,Princeton,65,51
Northwestern,Rhode Island,76,64
Illinois,Stony Brook,66,76
Quinnipiac,Virginia Tech,81,61
Nevada,Wichita St.,70,74
