Team1,Team2,Score1,Score2
North Dakota,Air Force,77,67
Coastal Carolina,Alabama,68,44
Clemson,Alabama-Birmingham,52,70
Austin Peay,Boise St.,83,80
Vermont,Cleveland St.,63,60
Dayton,College of Charleston,94,84
Fairfield,Colorado St.,60,62
San Jose St.,Creighton,85,74
James Madison,Davidson,85,65
Furman,ETSU,76,63
Hofstra,Evansville,77,70
Ohio,Marshall,64,65
Boston College,McNeese St.,64,82
Murray St.,Missouri St.,89,76
UTEP,New Mexico,69,57
Rider,Northern Iowa,84,50
Harvard,Oklahoma St.,71,54
Kent St.,Saint Mary's (CA),70,71
Northern Arizona,Santa Clara,68,63
