Team,Opponent,Result,Score
UNC,Air Force,W,63-52
Southern Illinois,Alabama,L,65-64
Duke,Alabama State,W,96-61
Seton Hall,Arizona,W,80-76
Syracuse,BYU,W,80-75
Texas Tech,Charlotte,W,76-73
Vermont,UConn,L,70-53
Manhattan,Florida,W,75-60
Valparaiso,Gonzaga,L,76-49
St. Joseph's,Liberty,W,82-63
UTEP,Maryland,L,86-83
Nevada,Michigan State,W,72-66
Texas,Princeton,W,66-49
UTSA,Stanford,L,71-45
Wake Forest,VCU,W,79-78
