Team1,Team2,Score1,Score2
Alabama-Birmingham,BYU,97,79
UT-Martin,Central Michigan,73,76
Norfolk St.,Columbia,86,54
Nebraska-Omaha,Duquesne,120,112
Pepperdine,Eastern Washington,79,72
New Hampshire,Fairfield,62,77
Boston University,Fordham,66,69
Hofstra,George Washington,82,80
Belmont,Georgia,93,84
Houston,Georgia Tech,81,62
Southern,Holy Cross,59,55
Texas A&M-Corpus Christi,Louisiana-Lafayette,96,72
Tulsa,Michigan,67,62
Bucknell,Monmouth,90,80
Montana,Nevada,79,75
Army,NJIT,79,65
Houston Baptist,North Carolina-Greensboro,69,65
Texas-Arlington,Savannah St.,59,75
Idaho,Seattle,68,63
Wagner,St. Bonaventure,75,79
Western Carolina,Vermont,79,74
