Team1,Team2,Score1,Score2
Cincinnati,Bradley,70,67
New Mexico,University of California,68,66
Cleveland St.,Dayton,66,57
San Diego St.,Florida,73,49
Utah St.,Illinois St.,61,57
UCSB,Ole Miss,83,68
Charlotte,Nebraska,67,48
Utah,UTEP,69,81
Miami (OH),Tulsa,61,45
Alabama-Birmingham,VCU,77,80
Morgan St.,Virginia Tech,94,62
Valparaiso,Washington,71,72
