Team1,Team2,Score1,Score2
Illinois,Alabama,79,58
Ole Miss,BYU,90,94
Norfolk St.,Eastern Kentucky,81,75
Manhattan,Hampton,74,64
Louisiana-Lafayette,Incarnate Word,68,83
Central Michigan,Louisiana Tech,89,79
Rider,Loyola (IL),62,59
North Carolina Central,Miami (FL),75,71
UTEP,Murray St.,81,66
Eastern Illinois,Oakland,91,97
George Washington,Pitt,54,60
Iona,Rhode Island,88,75
Bowling Green St.,Saint Francis (PA),64,67
James Madison,South Carolina Upstate,73,72
UC-Davis,Stanford,77,64
Montana,Texas A&M,81,64
William & Mary,Tulsa,70,67
