Team1,Team2,Score1,Score2
Illinois,Air Force,69,78
Marquette,Alabama,90,85
UCLA,Belmont,44,78
Akron,Creighton,71,60
Southern,Duke,70,54
South Alabama,Florida,76,50
Xavier,Gonzaga,79,75
Nebraska,Hofstra,73,62
San Diego St.,Indiana,87,83
LSU,Iona,64,80
UTEP,Michigan,82,67
Oklahoma,Milwaukee,82,74
Nevada,Montana,87,79
Rutgers,St. Joseph's,71,62
Wichita St.,Seton Hall,66,86
Texas A&M,Syracuse,58,66
Winthrop,Tennessee,63,61
Washington,Utah St.,61,75
