Team,Opponent,Result,Score
Kansas,Bucknell,L,64-63
UConn,UCF,W,77-71
North Carolina State,Charlotte,W,75-63
Duke,Delaware State,W,57-46
Ohio,Florida,L,67-62
Georgia Tech,George Washington,W,80-68
Minnesota,Iowa State,L,64-53
Louisville,Louisiana-Lafayette,W,68-62
Old Dominion,Michigan State,L,89-81
Stanford,Mississippi State,L,93-70
Villanova,New Mexico,W,55-47
Oakland,UNC,L,96-68
Wisconsin,Northern Iowa,W,57-52
Southeastern Louisiana,Oklahoma State,L,63-50
Southern Illinois,Saint Mary's,W,65-56
Cal State Fullerton,San Francisco,W,85-69
