Team,Opponent,Result,Score
Notre Dame ,Akron ,W,69-56
Memphis ,Arizona ,L,77-75
Kansas ,Boston University ,W,72-53
University of California,Colorado,L,89-72
Hampton ,Duke ,L,87-45
Texas A&M ,Florida State ,L,57-50
Villanova ,George Mason ,L,61-57
VCU ,Georgetown ,W,74-56
Washington ,Georgia ,W,68-65
UNLV ,Illinois ,L,73-62
Syracuse ,Indiana State ,W,77-60
UNC ,LIU-Brooklyn ,W,102-87
Xavier ,Marquette ,L,66-55
Tennessee ,Michigan ,L,75-45
Texas ,Oakland ,W,85-81
UTSA ,Ohio State ,L,75-46
St. Peter's ,Purdue ,L,65-43
Air Force,Santa Clara,L,88-75
