Team,Opponent,Result,Score
Cleveland State,Arizona,L,71-57
Syracuse,Arizona State,W,78-67
Kansas,Dayton,W,60-43
Siena,Louisville,L,79-72
Missouri,Marquette,W,83-79
USC,Michigan State,L,74-69
Pitt,Oklahoma State,W,84-76
Xavier,Wisconsin,W,60-49
